Document Key,Reviewer,"Email

(If chain, date of first email sent)"
Davidson1943_TB,Rachel,2018-01-10
Davidson1943_TGDN,Rachel,2018-01-10
Fife1943,Rachel,2018-01-10
Altrocchi1944,Rachel,2018-01-11
HanchettFife1944,Rachel,2018-01-11
TheColdSpringRecorder1930,Rachel,2018-01-11
TheDailyStar1930,Rachel,2018-01-11
CorsicanaDailySun1921,Rachel,2018-01-21
CortlandStandard1926,Rachel,2018-01-21
GalenaWeeklyRepublican1921,Rachel,2018-01-21
GenevaDailyTimes1921,Rachel,2018-01-21
LipscombLimeLight1921,Rachel,2018-01-21
MountCarmelItem1921,Rachel,2018-01-21
SkaneatelesFreePress1921,Rachel,2018-01-21
TheAlmanceGleaner1921,Rachel,2018-01-21
TheBeloitDailyCall1921_Jul7,Rachel,2018-01-21
TheBeloitDailyCall1921_Jun28,Rachel,2018-01-21
TheBemidjiDailyPioneer1921,Rachel,2018-01-21
TheChanuteDailyTribune1921,Rachel,2018-01-21
TheDailyCourierGazette1921,Rachel,2018-01-21
TheEastHamptonStar1921,Rachel,2018-01-21
TheEveningGazette1921,Rachel,2018-01-21
TheEveningNews1921,Rachel,2018-01-21
TheFayettevilleBulletin1921,Rachel,2018-01-21
TheOswegoPalladium1921,Rachel,2018-01-21
TheRioGrandeRepublic1922,Rachel,2018-01-21
TheSuffolkCountyNews1921,Rachel,2018-01-21
DailyPeople1906,Rachel,2018-01-22
EnglewoodTimes1905,Rachel,2018-01-22
Gassaway1905,Rachel,2018-01-22
Gassaway1905_ACFP,Rachel,2018-01-22
Gassaway1905_BA,Rachel,2018-01-22
Gassaway1905_BDE,Rachel,2018-01-22
Gassaway1905_BDH,Rachel,2018-01-22
Gassaway1905_DCJ,Rachel,2018-01-22
Gassaway1905_KCS,Rachel,2018-01-22
Gassaway1905_NA,Rachel,2018-01-22
Gassaway1905_TCR,Rachel,2018-01-22
Gassaway1905_TFWS,Rachel,2018-01-22
Gassaway1905_TID,Rachel,2018-01-22
Gassaway1905_TSLR,Rachel,2018-01-22
Gassaway1905_TSLT,Rachel,2018-01-22
Gassaway1905_TSWM,Rachel,2018-01-22
Gassaway1905_TTDC,Rachel,2018-01-22
Gassaway1905_TTT,Rachel,2018-01-22
Julian1901_TBH,Rachel,2018-01-22
Julian1901_TS,Rachel,2018-01-22
TheDailyNews1907,Rachel,2018-01-22
TheGazetteTimes1906,Rachel,2018-01-22
