Case to be made for acquiring if new searches are conducted after 2017-11-11,Author Name,Article Ttitle,"Publication Title

All italics are produced by the webiste programming, so encoding for italics is essential here.",Volume Number,Issue Number,Date,"Pages 

(Website uses this column only)","Publisher 

(required for monograph)","Year of publication

(required for monograph)",Archival Holding,"Permission Obtained

(date, point of contact, pertinent details)",Status of Search (including InterLibrary Loan Transaction Number),Status As Of (Date of last edit/addendum/action),Referenced in,Tags of docs already acquired--need cleaner copy,RManuszak notes 4/29/2105-May 2016,Notes
"Y--need to evaluate, would need ot get permissions, but super interesting to consider",RIchard Cooper Nidever,,Finding the Lone Woman of San Nicolas Island,,,,,Stansbury Publishing,2017-04-14,,,,,,,,
"In Brantingham1993, he references a ""recent"" Santa Barbara Yesterdays column in which it is suggested that the LW was an Alaskan Indian and people were upset. This definitely exists. It might refer to work by Marla Daily or a column addressing her work which would have been recent at the time.

Sara thinks this is an erroneous reference to Daily1989. Rachel thinks we just didn't find it because of the specificty of Brantingham1993's description.",,Santa Barbara Yesterdays,Los Angeles Times,,,prior to 7/11/1993,,,,,,TN 1269129,5/19/2016,referenced in Brantingham1993,,,
"Interesting clipping about IBD film but we don't know what paper it appeared in and we would certainly need reprint permission. Because of notes it was found with, we thought it was in the Sacramento Bee.  It definitely is not!",,"""Anchor Bay, Gualala Become Settings for Filming of Historical Novel.""",,,,,,,,,,"TN 1215388--6/19/2015 [""No library is able to supply this item.""]

TN 1224019--searched Aug-Sep 1963, could not find

TN 1240111--searched, could not find
scanned Jul 16-31, 1963 
began skipping inserts around end of July (NO VERTICAL COLUMN LINES in Valley Leisure, etc. as in PDF of clipping) 
--Jul 1-15, 1963 
--Oct 1-15, 1963 
Aug-Sep already checked under different TN with nothing to show :( 
--Jun 16-30, 1963 
--Jun 1-15, 1963 

TN 1250871--3/15/2016 email from Carina [""Searched through all three reels of microfilm; first two I searched each headline, last reel I searched with process of elimination in regards to the formatting of the newspaper clipping. Article not found; no documents created.""]

TN 1253126--4/8/2016 email from Carina [""Searched through microfilm reels TN 1253126 for Sacramento Bee clipping, looking for three columned articles of the same headline. Article not found. No documents created.""]

TN 1258385--4/19/2016 email from Carina [""All six microfilm reels, TN 1258385, were looked through for the specific newspaper clipping by looking for three-columned articles of similar style and headlines. Article not found. No documents created.""]

TN 1267865--6/8/2016 [""When you return the first 4 reels you can email us to let us know that you need the next four or you can put in the request yourself.  Either way should work.  Thanks for the quick response!""}",6/8/2016,,"SacramentoBee1963_DigSur.pdf
 
[JPEG] SacramentoBee1963_DigSur.pdf",,Newspaper clipping.  Publication unknown.
Yes - likely reprint,,,[Hampshire/Portsmouth Telegraph],,,1892-10-22,,,,,,,10/13/2016,,,based on Cordell clusters,
Yes - likely reprint,,,[Hampshire/Portsmouth Telegraph],,,"
1892-04-16",,,,,,,10/13/2016,,,based on Cordell clusters,
Yes - likely reprint,,,Bangor Weekly Courier (ME),,,1885-05-21,,,,,,"TN 1288308--10/13/2016 [""No library is able to supply this item.""]",10/13/2016,,,"based on Cordell clusters

BangorDailyWhigAndCourier1885
***DISCREPANCY BETWEEN DAILY AND WEEKLY***",
Yes - likely reprint,,,Clinton Courier & Courant,,,,,,,,,,,"
GFM1881",,,
Yes - likely reprint,,,"Evening Telegram (Shreveport, LA)",,,1857-04-29,,,,,,"TN 1288402--10/13/2016 [""Unable to verify your request as cited. This journal did not run during this time--see http://chroniclingamerica.loc.gov/lccn/sn86053845/ . Immediately preceding titles also do not seem to include this date.""]

TN 1288403--10/13/2016 [""Unable to verify your request as cited. Records for this paper start in 1872--I traced the title back through two more records, but still didn't get all the way to 1857. Is the needed material under an earlier title?""]",10/13/2016,,,,
Yes - likely reprint,,,"Frank Leslie's Illustrated Weekly (New York, NY)",,,1859-01-15,,,,,,,10/13/2016,,,http://libcat.csd.sc.edu/search/o2261312,
Yes - likely reprint,,,Galveston News (TX),,,1887-02-27,,,,,,"TN 1288305
TN 1288306
TN 1288307",10/13/2016,,,,
