Person writing,"Type

(lack of type indicates no type to be used in TEI)

This is a legacy of our early TEI. We keep this information and keep encoding it in new documents for the sake of consistency. It has no searchability or relevance and wasn't implemented rigorously. What I mean is that categories and labels aren't very good, and because of the sprawl of annotations did not end up being applied consistently.",Key,"Name

This is the title/label of the one liner and should match the text preceding the colon in the write-up itself.","Write-Up

The text preceding the colon in this column should match the text in the name/label column.","Sources & Notes

Wherever possible, the information in this column should be in the format of a citation rather than a single link. Full/formal citations are not necessary, but the goal should always be to allow someone else to follow the documentary/digital trail back to the item, whether or not its digital location has changed."
,eType,key,name,description,
Baseball card,"orgName type=""nativeamericantribes""",#natam_aleuts,Aleuts,"Aleuts: Native maritime people of the Aleutian Islands, in southwest Alaska. Much of their land came under the control of the Russian Empire in the mid-eighteenth century. The Aleuts, or Unangax, like the Natives of Kodiak Island, were pressed into service hunting maritime animals for the Russian America Company in the nineteenth century; it is likely, however, that hunters from Kodiak Island, not the Aleutian Island chain, were involved in the 1814 massacre of the Nicole&#241;os. During the nineteenth century, many Aleuts were forced into labor at seasonal seal-hunting camps on the remote Pribilof Islands of St. George and St. Paul. Abusive conditions continued with commercial fishing on these islands during the American era. Today, the Aleutian Pribilof Islands Association is a federally recognized tribe with government-to-government relations with the United States.",ref #1814huntingparty
,"orgName type=""company""",#americanfurcompany,American Fur Company,American Fur Company: a fur trading company founded in 1808 by John J. Astor. The American Fur Company dominated trade in the Great Lakes region and competed with the Hudson's Bay Company in the Pacific Northwest. Astor's trading post on the Columbia River was contracted to supply Russian Alaska with food prior to the War of 1812.,http://www.encyclopedia.com/history/united-states-and-canada/us-history/american-fur-company
,"orgName type=""museum""",#mu_americanmuseum,American Museum,"American Museum: a museum opened by P. T. Barnum in Manhattan from 1841-65. Its exhibits attracted members of various classes and featured natural history specimens, paintings, wax figures, memorabilia, and events such as lectures. The museum was destroyed in a fire on July 13, 1865, leading to the creation of a circus that ran for nearly 150 years.","http://www.loc.gov/exhibits/treasures/tri154.html
http://lostmuseum.cuny.edu/archive/barnums-american-museum
"
,orgName [no type],#natam_aztec,Aztec,"Aztec: the Native people of northern Mesoamerica, who ruled a large, complex empire from the mid-fourteenth to the early sixteenth centuries. The empire was destroyed when the army of Spanish conquistador Hernán Cortés captured its capital city of Tenochtitlán (present-day Mexico City) in 1521. At its height, the Aztec Empire had a population of eleven million people who were supported by an elaborate agriculture system. The civilization is renowned today for its magnificent art and architecture, including its religious temples, and for its codices and calendars.","https://www.britannica.com/topic/Aztec http://www.ancient.eu/Aztec_Civilization/
https://www.britannica.com/place/Tenochtitlan http://www.houstonculture.org/mexico/mexico2.html
"
,"orgName type=""nativeamericantribes""",#natam_Barbareno,Barbare&#241;os,"Barbare&#241;os: Chumash people who are associated with Mission Santa Barbara and who, before the mission era, lived along the Pacific coast in the region between Point Conception and Rincon Point.",
baseball card,orgName [no type],#bp,Boardman and Pope,"Boardman and Pope: a Boston-based firm engaged in the Northwest and China trade during the early decades of the nineteenth century. The shipping enterprise has been falsely connected with the massacre of Nicole&#241;os by Russian American Company hunters. Various periodical accounts stated that the captain of a Boardman & Pope ship, the <i>Charon</i>, left a hunting group on San Nicolas Island in 1811, and the hunters killed the Nicole&#241;os. Russian documents show that the massacre did not involve the <i>Charon</i> or its captain; moreover, the battle took place in 1814.",
,orgName [no type],#brystu,Bryant & Sturgis,"Bryant & Sturgis: a Boston firm that traded in California throughout the Mexican period. Bryant & Sturgis purchased hides, tallow, and local produce from the ranches and missions, selling or exchanging them for manufactured goods.",
,"orgName type=""government""",#gov_indianbureau,Bureau of Indian Affairs (BIA),"Bureau of Indian Affairs (BIA): an agency of the US federal government established in 1824 to administer the nation’s trade and treaty relations with Native tribes within US borders (prior to this date, various configurations were used to manage government-to-government relationships between the United States and Native nations). The BIA became the entity responsible for distributing aid to the newly dislocated Native peoples when removed from their homelands and relocated to remote reservations during the nineteenth century. During the era in which assimilation dominated Native policy, the BIA administered the privatization of communal lands through an allotment program and ran boarding schools designed to educate Native youth away from tribal identities. Today, the Bureau of Indian Affairs is housed in the Department of the Interior and has a mission to support tribes’ self-determination.",
,"orgName type=""mission""",#mi_mainlandmissions,California Missions,"California Missions: the 21 Catholic missions in Alta California, built between 1769-1823, initially under the leadership of the Spanish Franciscan Father Junípero Serra. The mission system was designed to both Christianize and control the Native population and to establish Spain's political and economic dominion over the region (which would eventually become the US state of California). Missions stretched along El Camino Real, a coastal road, from San Diego in the South to San Francisco in the North; each was placed about a day's drive from each other. Following Mexican independence, the missions were secularized, in 1833, and mission properties were sold to private interests.",http://www.seecalifornia.com/missions/directory.html
,orgName,#cayachtclub,California Yacht Club,"California Yacht Club: a social organization for yacht owners in the Los Angeles area. The club was founded in 1922 and located at Wilmington Harbor; in 1961, it relocated to Marina del Rey.","http://blogs.dailybreeze.com/history/2013/12/01/the-california-yacht-club-in-wilmington/
http://www.calyachtclub.com/club
"
Carina,"orgName type=""organization""",#scatalinayachtclub,Santa Catalina Yacht Club,"Catalina Yacht Club: one of the oldest West Coast yacht clubs that has operated continually (except during World War II) since 1924. Catalina’s owners, the Banning Brothers, founded the yacht club in 1892 but it never flourished and was disbanded in 1914. The club reopened in 1924 when James Jump signed a lease with the Santa Catalina Island Company and re-founded the club, which promotes nautical hobbies such as sailing and fishing for sport.","""Catalina Island Yacht Club."" Islapedia. Accessed January 29, 2017. http://islapedia.com/index.php?title=Catalina_Island_Yacht_Club."
Baseball card,"orgName type=""nativeamericantribes""",#natam_chumash,Chumash,"Chumash: Native people whose homeland spans the coast from Morro Bay to Malibu and includes the northern California Channel Islands. The Chumash are likely the first Natives to have interacted with the Lone Woman when she arrived in Santa Barbara in 1853. In fact, two Santa Barbara Chumash men, Malquiares and Policarpio, were members of the hunting party, led by George Nidever, that brought the Lone Woman to the mainland. Some bands of Chumash people gained federal recognition in the late twentieth century, and today there is one Chumash reservation: Santa Ynez Indian Reservation. Many Chumash are engaged in cultural revitalization, including the teaching and study of the Chumash language and communal building and paddling of the <i>tomol</i> associated with their maritime culture.",
,orgName [no type],#halfbreeds,Creoles (Russian America),"Creoles (Russian America): people of mixed ethnic ancestry, for example, of a Russian father and Alaska Native mother or Creole father and Alaska Native mother.  As outlined in the Russian American Company charter of 1821, Creoles constituted a separate estate within the Russian Empire, and they played a prominent role in the commercial activities of the RAC.  Creoles typically spoke Russian and were educated within the colony and/or in the mother country alongside Russians.  Within the fur trade, their work mirrored that of Russians more closely than that of Natives.  By the mid nineteenth century, the number of Creoles within Alaskan towns such as Sitka nearly equaled the number of Russian settlers.","Ilya Vinkovetsky, Russian America: An Overseas Colony of a Continental Empire, 1804-1867 (Oxford UP,2011), 142-49"
Carina,"orgName type=""organization""",#daughters,Daughters of the American Revolution,"Daughters of the American Revolution: an organization founded in 1890 for female descendants of soldiers who fought in the American Revolution. Members, who must prove that they are a direct descendent of a Revolutionary War soldier, promote education and historical preservation. During much of the twentieth century, the DAR was infamous for its racism and, in 1939, then First Lady Eleanor Roosevelt renounced her membership after the national organization barred the renowned African-American singer Marian Anderson from performing in their constitutional Hall in Washington, DC. In the twenty-first century, however, the organization has worked to cultivate membership diversity.","""Who We Are."" DAR: Daughters of the American Revolution. November 08, 2016. Accessed January 24, 2017. http://www.dar.org/national-society/about-dar/who-we-are/who-we-are."
,"orgName type=""nativeamericantribes""",#natam_DiggerIndians,Digger Indians,"Digger Indians: a derogatory term initially used by American miners to describe the Native people of central California, who obtained a substantial portion of their caloric needs through indigenous vegetation, including acorns and roots.",
,"orgName type=""nativeamericantribes""",#natam_Fernandenos,Fernande&#241;os,"Fernande&#241;os: Gabrieli&#241;o (Tongva) peoples who lived at Mission San Fernando, south of Santa Barbara, California.",
Baseball card,"orgName type=""nativeamericantribes""",#natam_GabrilenoTongva,Gabrielinos,"Gabrielinos: Native peoples of the Los Angeles Basin and the southern Channel Islands. After the arrival of the Spanish and establishment of the mission system, they acquired the name Gabrielino due to their residence at Mission San Gabriel. Today, some Gabrielino call themselves Gabrielino while others use the terms Tongva or Kizh instead of or alongside the name Gabrielino. Twenty-first century Gabrielino (Tongva) people are striving to gain federal recognition as a tribe with the right to maintain government-to-government relations with the United States.",
Sara,"orgName type=""nativeamericantribes""",#natam_inuit,Inuit,"Inuit: indigenous people of the North American Arctic, including parts of the United States (Alaska), Canada, and Greenland. The name derives from the Inukitut word for ""people."" The name Eskimo, which is associated with the colonial past, was previously used by outsiders to describe both the Inuit and Yupik peoples of Alaska, who speak languages that belong to the same linguistic group.  The Alutiiq (Sugpiaq) people, including those of Kodiak Island, have at times been misidentified as ""Inuit;"" they are Pacific Yupik.",https://www.uaf.edu/anlc/resources/inuit-eskimo/
,orgName,#marwil,Marshall & Wildes,"Josiah Marshall (1773-1841): a businessman based in Boston, Massachusetts and co-owner, with Dixey Wildes, of the Marshall & Wildes shipping business.

Dixey Wildes: partner with Josiah Marshall in the Boston-based Marshall & Wildes shipping firm, which was engaged in trade with China.",
,"orgName type=""nativeamericantribes""",#natam_hawaiian,Kanakas,Kanakas: a derogatory term used by Europeans and Americans in the nineteenth century to designate Hawaiian Islanders.,
,"orgName type=""nativeamericantribes""",#natam_pomo,Kashaya Pomo,"Kashaya Pomo: California people whose homeland is north of San Francisco Bay in coastal Sonoma County. During the nineteenth century, some Kashaya Pomo were recruited by the Russian American Company to work as seasonal laborers at Fort Ross. The Kashaya Pomo chose to form an alliance with the Russians in part to protect themselves against Spanish missionary efforts and incursions by Mexican colonists. Members of the Kashaya Pomo community were recruited to play the people of Karana’s community, as well as the Aleuts, in the 1964 film adaptation of Island of the Blue Dolphins.  Today, the Kashia Band of Pomo Indians of the Stewarts Point Rancheria is a federally recognized tribe.",
Baseball card,"orgName type=""nativeamericantribes""",#natam_kodiak,Kodiak Alutiiq (or Sugpiaq),"Kodiak Alutiiq (Sugpiaq): Native maritime people of Kodiak Island.  Their territory came under the control of the Russian Empire in 1784 when a permanent Russian settlement was established on Kodiak Island. The Russians often referred to the Kodiak Alutiit as ""Aleuts,"" but they are a linguistically and culturally distinct people from those who live on the Aleutian Islands. During the early nineteenth century, the Kodiak Alutiit, who were expert marine mammal hunters, were forced to hunt fur-bearing animals for the government-sponsored Russian American Company. Sailing ships brought Russian overseers and Kodiak islanders to hunt otters on San Nicolas and other California Channel Islands. When Alaska was purchased by the United States, the Kodiak Alutiit confronted new pressures of assimilation. The 1971 Alaska Native Claims Settlement Act brought significant benefits to Alutiiq villages; today, cultural revitalization efforts are flourishing on Kodiak Island.",ref #1814huntingparty
,"orgName type=""mission""",#mi_pur,La Purisima Mission,"La Purisima Mission: a Spanish mission established in the Chumash village of Algsacupi (present-day Lompoc) founded in 1787. Also called La Purísima Concepción, in 1804, at the mission’s peak, 1,520 Chumash neophytes lived here. The mission was secularized in 1834 and returned to the Catholic Church in 1874. It is now a California State Historic Park and serves as a living history museum.",
,"orgName type=""mission""",#mi_la,Los Angeles Mission,"Los Angeles Mission: a Catholic mission located in present-day Los Angeles, California and founded in 1797, although the mission's first church was not completed until 1799. Also known as San Fernando Mission or San Fernando Rey de Espa&#241;a, by 1811 the mission had 1,081 residents, most of whom were Tataviam or Gabrielino (Tongva). The Nicole&#241;os who arrived in San Pedro in 1835 were not brought to this mission due to its secularization in 1834; instead, some of the group were baptized at the Los Angeles Plaza Church. The mission was returned to the Catholic Church in 1861.",
Baseball card,"orgName type=""nativeamericantribes""",#natam_Luisenos,Luise&#241;os,"Luise&#241;os: Native people of southern California whose homeland extends from southern Los Angeles County to northern San Diego County. They acquired the name Luise&#241;os from their association with Mission San Luis Rey in present-day Oceanside, California. As of 2016, six bands of Luise&#241;o people had been federally recognized as tribes with government-to-government relations with the United States, including the Pechanga Band, which in 2015 submitted a repatriation claim to the US Navy citing cultural affiliation with the Nicole&#241;os and requesting a return of all funerary and cultural objects held by the Navy on San Nicolas Island. The claim was accepted. Linguists have determined that the Luise&#241;o language came from the Cupan group of the Takic branch of the Uto-Aztecan language, and some believe the four recorded words spoken by the Lone Woman resemble the Luise&#241;o language more closely than any other.",
,"orgName type=""missionfathers""",#misfats,Mission Fathers,"Mission Fathers: a term applied collectively, in California, to the Franciscan priests who oversaw the twenty-one Catholic missions established between 1769 and 1833. The missions sought to ""gather in"" the Native peoples of California, converting them to Christianity and European lifeways. No evidence documenting a priest's request to search for the Lone Woman of San Nicolas Island has been found to this date.",
,"orgName type=""nativeamericantribes""",#natam_missionindians,Mission Indians,"Mission Indians: unidentified California Natives who were associated with one or more of the twenty-one Catholic missions in California. In many European-American documents, they are referred to as Christian neophytes, with their tribal identities omitted. In only some instances can historical research uncover tribal or individual identities of those referenced.",
Carina,"orgName type=""musuem""",#mu_parismuseum,Musée de l’Homm,"Musée de l’Homm: a museum in Paris, France, established in 1938. The museum’s precursor was the Musée d’Ethnographie du Trocadéro, established in 1882 and in operation until it was joined with the Musée de Sculpture Comparée to form the Musée de l’Homme. French geologist and ethnographer Léon de Cessac collected artifacts from San Nicolas Island for this museum in the 1870s; they are still held in the museum’s collections today.","""From the Palais du Trocadéro to the Palais de Chaillot : 1882-2015."" Musée de l'Homme. Accessed February 08, 2017. http://www.museedelhomme.fr/en/museum/history-musee-homme/palais-trocadero-palais-chaillot-1882-2015."
,"orgName type=""publication""",#clintoncourier,"(Clinton, Mass) Courier",N/A,
,"orgName type=""government""",#gov_sbscourt,(SB) Superior Court,N/A,
,orgName ,#albanco,A.L. Bancroft & Company,N/A,
,"title type=""publication""",#aboriginalcal,Aboriginal California,N/A,
,orgName,#academicpress,Academic Press,N/A,
publication information,"orgName type=""publisher""",#academypublishers,Academy Publishers,N/A,
source notes work,"orgName type=""publication""",#adcp,Adams County Free Press ,N/A,
source notes work,"orgName type=""publication""",#adamssentinel,Adams Sentinel and General Advertiser,N/A,
source notes work,"orgName type=""publication""",#adventuremag,Adventure Magazine,N/A,
,orgName [no type],#ucaffiliatedcolleges,Affiliated Colleges of University of California,N/A,
,"orgName type=""military""",#mi_airforce,Air Force,N/A,
source notes work,"orgName type=""publication""",#airtime,Air Time,N/A,
source notes work,"orgName type=""publication""",#aevening,Albany Evening Journal,N/A,
,"orgName type=""publication"" ",#alexandria,Alexandria Gazette,N/A,
,"orgName type=""nativeamericantribes""",#natam_ciindians,All Channel Island Indians,N/A,
,"orgName type=""publication""",#alleganycr,Allegany County Republican,N/A,
publication information,orgName [no type],#anthroassoc,American Anthropological Association,N/A,
source notes work,"orgName type=""publication""",#aman,American Anthropologist,N/A,
publication information,"orgName type=""publication""",#aman,American Antiquity,N/A,
publication information,orgName [no type],#caamfolklore,"American Folklore Society, California branch",N/A,
,orgName,#humsoc,American Humane Society,N/A,
publication information,"orgName type=""publication""",#journalofpsych,American Journal of Psychology,N/A,
,orgName [no type],#ala,American Library Association,N/A,
source notes work,"orgName type=""publication""",#americanstatesman,American-Statesman,N/A,
,"orgName type=""institution""",#in_amherst,Amherst College,N/A,
source notes work,"orgName type=""publication""",#amsterdamdailydem,Amsterdam Daily Democrat,N/A,
,"orgName type=""publication""",#anwest,Ancestors West,N/A,
source notes work,"orgName type=""publication""",#anmbetfr,Ancienne Maison Barbou et Frères,N/A,
,orgName [no type],#antap,Antap religious cult,N/A,
publication information,"orgName type=""organization""",#anthrosociety,Anthropological Society,N/A,
,orgName [no type],#anthrobombay,Anthropological Society of Bombay,N/A,
,"orgName type=""nativeamericantribes""",#natam_apache,Apache,N/A,
,"orgName type=""nativeamericantribes""",#natam_apalamnes,Apalamnes,N/A,
,"orgName type=""nativeamericantribes""",#natam_arapaho,Arapahos,N/A,
,orgName,#archsruvannrep,Archaeological Survey Annual Report,N/A,
,"orgName type=""organization""",#archaeologicalsurvey,archaeological Survey Association of Southern California,N/A,
,"orgName type=""museum""",#mu_philips,Archeological Museum of Philips Academy,N/A,
source notes work,"orgName type=""publication""",#afuran,Archiv für anthropologie,N/A,
source notes work,"orgName type=""publication""",#arg,Argus,N/A,
,"orgName type=""publication""",#azweeklyjournalminer,Arizona Weekly Journal-Miner,N/A,
,"orgName type=""publication""",#arkansascity,Arkansas City Traveler,N/A,
,"orgName type=""military""",#mi_armycorp,Army Corp of Engineers,N/A,
publication information,"orgName type=""publication""",#art,Art and Archaeology,N/A,
,"orgName type=""publisher""",#aclco,Arthur H. Clark Company,N/A,
,"orgName type=""nativeamericantribes""",#asesq,Asiatic Esquimaux,N/A,
,"orgName type=""company""",#aprail,Atlantic and Pacific Railroad,N/A,
,"orgName type=""publication""",#augustachronicle,Augusta Chronicle,N/A,
,"orgName type=""nativeamericantribes""",#natam_auracania,Auracania,N/A,
,"orgName type=""company""",#avalon,Avalon Air Transport,N/A,
publication information,"orgName type=""publisher""",#bacon,Bacon & Company,N/A,
publication information,"orgName type=""publisher""",#ballena,Ballena Press,N/A,
,"orgName type=""publication""",#baltimoreamerican,Baltimore American,N/A,
source notes work,"orgName type=""publication""",#baltimoresun,Baltimore Sun,N/A,
,"orgName type=""institution""",#bancroft,Bancroft Library [at Berkeley],N/A,
,"orgName type=""publication""",#bangordailywhig,Bangor Daily Whig And Courier,N/A,
,"orgName type=""publication""",#bannerdemocrat,Banner Democrat,N/A,
,"orgName type=""publication""",#barcoind,Barber County Index,N/A,
,"orgName type=""company""",#bfcompany,"Barron, Forbes and Company",N/A,
,"orgName type=""nativeamericantribes""",#natam_bashonees,Bashonees,N/A,
,"orgName type=""publication""",#bathplaindealer,Bath Plaindealer,N/A,
,orgName,#beatles,Beatles,N/A,
source notes work,"orgName type=""publication""",#beaher,Beaver Herald,N/A,
,orgName,#ballstation,Bell Station,N/A,
source notes work,"orgName type=""publication""",#belvstan,Belvidere Standard,N/A,
,orgName,#bibnat,Bibliothèque Nationale,N/A,
,"orgName type=""publication""",#bismarckdailytribune,Bismarck Daily Tribune,N/A,
,"orgName type=""nativeamericantribes""",#natam_blackfoot,Blackfoot,N/A,
,"orgName type=""government""",#gov_bofsup,board of supervisors,N/A,
,"orgName type=""nativeamericantribes""",#natam_miwok,Bodega Miwok,N/A,
,"orgName type=""nativeamericantribes""",#natam_bolbones,Bolbones,N/A,
,orgName,#boltonjones,Bolton & Jones,N/A,
source notes work,"orgName type=""publication""",#bookssw,Books of the Southwest,N/A,
source notes work,"orgName type=""publication""",#borwat,Border Watch,N/A,
source notes work,"orgName type=""publication""",#bostonatlas,Boston Atlas,N/A,
,"orgName type=""publication""",#bostonevening,Boston Evening Transcript,N/A,
publication information,"orgName type=""institution""",#braun,Braun Research Library,N/A,
source notes work,"orgName type=""publication""",#brookde,Brooklyn Daily Eagle,N/A,
source notes work,"orgName type=""publication""",#browndh,Brownsville Daily Herald ,N/A,
source notes work,"orgName type=""publication""",#bruceher,Bruce Herald,N/A,
,"orgName type=""publication""",#bryandaily,Bryan Daily Eagle,N/A,
,"orgName type=""publication""",#buffalocourier,Buffalo Courier-Record,N/A,
source notes work,"orgName type=""publication""",#bulletinacademyofsciences,Bulletin of the Academy of Science,N/A,
,orgName,#bullusgeo,Bulletin of the United States Geological Survey of the Territories,N/A,
,"orgName type=""government""",#gov_bureau,Bureau of American Ethnology,N/A,
source notes work,"orgName type=""publication""",#bureau,Bureau of American Ethnology Bulletin,N/A,
source notes work,"orgName type=""publication""",#burlingtonfp,Burlington Free Press,N/A,
,"orgName type=institution""",#in_calpolypo,Cal Poly Pomona,N/A,
,"orgName type=""institution""",#in_calstatela,Cal State LA,N/A,
,"orgName type=""museum""",#mu_calacademyofscience,California Academy of Science,N/A,
source notes work,"orgName type=""publication""",#caarchaeology,California Archaeology,N/A,
,"orgName type=""government""",#gov_cafishgame,California Dept of Fish and Game,N/A,
,orgName,#cadrco,California drug company,N/A,
source notes work,"orgName type=""publication""",#calfarmer,California Farmer and Journal of Useful Sciences,N/A,
source notes work,"orgName type=""publication""",#cfquarterly,California Folklore Quarterly,N/A,
source notes work,"orgName type=""publication""",#cahistsocquarterly,California Historical Society Quarterly,N/A,
,"orgName type=""publication""",#cahistory,California History,N/A,
,orgName [no type],#calnwrr,California Northwestern Railway,N/A,
,orgName [no type],#calpromo,California Promotion Committee,N/A,
,orgName,#csuf,"California State University, Fullerton",N/A,
,orgName,#csulb,"California State University, Long Beach",N/A,
,orgName,#csula,"California State University, Los Angeles",N/A,
,orgName,#csunorth,"California State University, Northridge",N/A,
,"orgName type=""government""",#gov_californiasc,California Supreme Court,N/A,
source notes work,"orgName type=""publication""",#calterritorial,California Territorial Quarterly,N/A,
,orgName,#calfabind,"California's Gabrielino Indians, vol. 8",N/A,
source notes work,"orgName type=""publication""",#camag,Californian [magazine],N/A,
source notes work,"orgName type=""publication""",#cambriafreeman,Cambria Freeman,N/A,
source notes work,"orgName type=""publication""",#cambridgechronicle,Cambridge Chronicle,N/A,
,orgName,#camupress,Cambridge University Press,N/A,
,"orgName type=""nativeamericantribes""",#natam_canimairo,Canimairo,N/A,
source notes work,"orgName type=""publication""",#canonsburgnotes,Canonsburg Notes,N/A,
source notes work,"orgName type=""publication""",#capri,Capricornian,N/A,
,"orgName type=""nativeamericantribes""",#natam_Catalineno,Cataline&#241;o,N/A,
,"orgName type=""publication""",#cataloguesni,"Catalogue of Pre-historic Relics from San Nicolas Island, California",N/A,
,"orgName type=""church""",#ch_catholic,Catholic Church,N/A,
,orgName [no type],#catholicla,Catholic Library Association,N/A,
source notes work,"orgName type=""publication""",#catholicreview,Catholic Review Service,N/A,
,"orgName type=""publication""",#cayugachief,Cayuga Chief,N/A,
,orgName type [no type],#centennial,Centennial Exposition,N/A,
,"orgName type=""company""",#cprail,Central Pacific Railroad,N/A,
,"orgName type=""publication""",#century,Century Magazine,N/A,
,orgName,#chaffey,Chaffey College,N/A,
,orgName,#ciarch,Channel Islands Archives,N/A,
,orgName,#ciphosur,Channel Islands Photographic Survey,N/A,
,"orgName type=""publication""",#hillinger_chi,"Charles Hillinger's Channel Islands: Santa Catalina, Santa Cruz, Anacapa, San Miguel, San Nicolas, Santa Rosa, San Clemente, Santa Barbara",N/A,
,"orgName type=""nativeamericantribes""",#natam_cheahtoc,Cheahtoc,N/A,
,"orgName type=""nativeamericantribes""",#natam_cherokee,Cherokee,N/A,
,"orgName type=""nativeamericantribes""",#natam_chetlessenten,Chetlessenten,N/A,
