Person writing,"Type

(lack of type indicates no type to be used in TEI)

This is a legacy of our early TEI. We keep this information and keep encoding it in new documents for the sake of consistency. It has no searchability or relevance and wasn't implemented rigorously. What I mean is that categories and labels aren't very good, and because of the sprawl of annotations did not end up being applied consistently.",Key,"Name

This is the title/label of the one liner and should match the text preceding the colon in the write-up itself.","Write-up

The text preceding the colon in this column should match the text in the name/label column.

On this tab only, follow this format: ""Term: definition of geographic place or feature--in other words, WHAT it is. Then, discuss the historical/cultural/geographical importance, including any connection, if relevant, to story of Lone Woman and its key characters. Always include, when relevant, the Native American perspective; e.g., ""the homeland of XXX people.""","Sources & Notes

Wherever possible, the information in this column should be in the format of a citation rather than a single link. Full/formal citations are not necessary, but the goal should always be to allow someone else to follow the documentary/digital trail back to the item, whether or not its digital location has changed.",Latitude,Longitude
,eType,key,name,description,,latitude,longitude
EA,"placeName type=""city""",#ci_aca,Acapulco,"Acapulco: a port city on the Pacific coast of Mexico located in the state of Guerrero.  Although its affluence declined after Mexican independence, it regained importance during the California Gold Rush, becoming a popular destination for ships traveling to and from Panama.",http://web.archive.org/web/20100113102315/http://www.nileguide.com/destination/acapulco/overview/history,16.8636,-99.8825
EA,placeName [no type],#acur,Acuragna,"Acuragna: a former Gabrieleno (Tongva) settlement located near Los Angeles, California, although its precise location is unknown.  It was mentioned in a handbook about Native Americans published by the Smithsonian Institution in 1907 and 1910.",http://geonames.usgs.gov/apex/f?p=gnispq:3:0::NO::P3_FID:1732505,34.134.055639,-118.124702
Rachel,placeName [no type],#adobehouse,Adobe house,"Adobe house: this phrase may refer to a building owned by the Santa Cruz Island Wool-growing Company, but it is unclear. The island was used primarily for sheep-ranching at this time.",http://www.nps.gov/chis/planyourvisit/upload/Santa-Cruz-Island-Interpretive-Guide-2014.pdf,34.003611,-119.726389
--,"placeName type=""region""",#re_africacon,Africa,"Africa: the world’s second largest continent, boarded by the Mediterranean Sea, the Indian Ocean, the Suez Canal and Red Sea along the Sinai Peninsula, and the Atlantic Ocean. It is believed that homo sapiens first evolved in Ancient Africa, with hunter-gatherer societies existing as early as 6000 BCE.  Africa is comprised of 54 independent countries today.","Jezek, Geno. ""History Of Africa."" History Of Africa. Accessed January 19, 2017. http://www.thehistoryofafrica.com/.""List of countries in Africa."" Countries of the World. Accessed January 19, 2017. https://www.countries-ofthe-world.com/countries-of-africa.html.",3.710344,21.85045
EA,"placeName type=""county""",#co_alameda,Alameda County,"Alameda County: a county in California incorporated in 1853. In 1860, Alameda had 465 residents.",http://www.acgov.org/ac150/history.htm,37.761241,-122.083139
Tyler,"placeName type=""region""",#re_alamosharbor,Alamos Harbor,"Alamos Harbor (Santa Cruz Island): most likely refers to a port on Santa Cruz Island located near Alamos Beach. This area of the island is now part of a larger totality owned by the Nature Conservancy, a nonprofit organization that purchased a considerable portion of Santa Cruz Island in 1978 with the aims of restoring ecological balance to the isle. Much of today's ecological instability can be traced to overgrazing by wild pigs and sheep, products of livestock brought to the site during the nineteenth century.",http://www.nature.org/cs/groups/webcontent/@web/@california/documents/media/prd_009417.jpg http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/california/placesweprotect/santa-cruz-island-california.xml,34.0013,-119.4335
Rachel,"placeName type=""state""",#st_ak,Alaska,"Alaska: the forty-ninth state of the United States, which joined the union in 1959. First inhabited between 20,000 and 10,000 BCE, the state is home to many indigenous groups, including 229 federally recognized tribes. A Russian expedition first explored the region in the seventeenth century and the state-sponsored Russian American Company, which was granted a monopoly on the fur trade, operated out of Sitka (New Archangel) through the early nineteenth century.  The United States government purchased Alaska from Russia in 1867.","Alaska History And Cultural Studies."" Alaska History and Cultural Studies. Accessed January 23, 2017. http://www.akhistorycourse.org/americas-territory/gold.
""Alaska History Timeline."" Alaska Public Lands Information Centers. Accessed January 23, 2017. https://www.alaskacenters.gov/alaska-timeline.cfm.
""Russia's Colony."" Alaska History and Cultural Studies. Accessed January 25, 2017. http://www.akhistorycourse.org/russias-colony/the-first-russian-contact-in-alaska.
""Alaska: Yesterday, Today and Tomorrow | Alaska History and Cultural Studies."" Alaska History and Cultural Studies. Accessed January 25, 2017. http://www.akhistorycourse.org/modern-alaska/alaska-yesterday-today-and-tomorrow/alaska-native-claims-settlement-act.
""Governing Alaska."" Alaska History and Cultural Studies. Accessed January 25, 2017. http://www.akhistorycourse.org/governing-alaska/tribal-governments.",61.137641,-149.884986
EA,"placeName type=""island""",#i_sleatras,Alcatraz Island,"Alcatraz: a rocky island in San Francisco Bay. The island was first used as a military fortification and became the site of the first American lighthouse on the Pacific Ocean in 1854. Alcatraz was the nation’s first official Army prison and, in 1934, became a civilian prison, hosting criminals such as Al Capone, ""Machine Gun"" Kelly, and Robert Stroud before closing in 1963. American Indian activists occupied the island between 1969-71, attracting considerable attention to the civil rights movement. Today, Alcatraz is part of the Golden Gate National Recreation Area and is a popular tourist destination.",http://geonames.usgs.gov/apex/f?p=gnispq:3:::NO::P3_FID:218080 http://academic.eb.com/EBchecked/topic/13237/Alcatraz-Island,37.826791,-122.42332
EA,placeName [no type],#aleup,Aleupkigna,"Aleupkigna: a former Gabrielino (Tongva) village located in Santa Anita/Arcadia, California (in Los Angeles Valley).  Rancho Santa Anita was located there.",http://www.tongvapeople.org/?page_id=696,34.145556,-118.049722
