article_id,title,publication,date,publisher_location,lat,lng,origin_location,origin_lat,origin_lng,reprint_type,group_reprint_id,author,tropes
AlbanyEveningJournal1853,"""A Female Robinson Crusoe""",Albany (NY) Evening Journal,1853-11-02,"Albany, New York",42.6511674,-73.754968,"San Francisco, California",37.7879363,-122.4075201,truncated,Goliah1853_DPT_reprint,[Goliah],Noble Savage; Anti-Russian Sentiment; Indian Queen; Signs Easily Interpreted; Discovery; Wonder
AlbanyEveningJournal1879,"""A Feminine Crusoe. Alone on a Dreary Desert Island for Eighteen Years""",Albany (NY) Evening Journal,1879-02-14,"Albany, New York",42.6511674,-73.754968,"Winona, Minnesota",44.0500054,-91.6392294,paraphrase,Stuart1878_reprint,,Girl Crusoe; Jump Overboard; Discovery; Noble Savage; Indian Queen
AlexandriaGazette1889,"""A Veritable Female Crusoe""",Alexandria (VA) Gazette,1889-07-18,"Alexandria, Virginia",38.8051095,-77.0470229,"New York, New York",40.7127281,-74.0060152,paraphrase,Hardacre1880_SM_reprint,,Noble Savage; Indians as Savage; Discovery; Indian Queen
AlleganyCountyRepublican1901,"""The Woman of San Nicolas Island. A Strange Story of the Pacific Coast""",Allegany County (NY) Republican,1901-10-25,"Friendship, New York",42.2064566,-78.1375099,"Los Angeles, California",34.0536909,-118.242766,direct,FHDudley1901_reprint,[M.E. Dudley],Noble Savage; Indians as Savage; No Boat Available; Discovery; Indian Queen; Signs Easily Interpreted
Altrocchi1944,"""The Wild Girl of the Santa Barbara Channel Islands""",California Folklore Quarterly,1944-02-14,"Berkeley, California",37.8708393,-122.272863,"Berkeley, California",37.8708393,-122.272863,paraphrase,Fife1943_reprint,Rudolph Altrocchi,Wild Child; Noble Savage; Girl Crusoe
AmericanAnthropologist1905,"""Proceedings of the California Meeting of the American Anthropological Association, August 29-September 2, 1905""",American Anthropologist,1905-08-29,"Lancaster, Pennsylvania",40.0379958,-76.3056707,,,,,,,Vanishing Indians; Origins
ArizonaWeeklyJournalMiner1893,"""An Island Transformed""",Arizona Weekly Journal-Miner,1893-07-19,"Prescott, Arizona",34.539984,-112.468812,"Boston, Massachusetts",42.3588336,-71.0578303,paraphrase,Roberts1886_reprint,,Wonder
ArkansasCityTraveler1892,"""Wild Dogs Ate Her Child. The Story of San Nicolas Island and Its Last Inhabitant""",Arkansas City (KS) Traveler,1892-04-07,"Arkansas City, Kansas",37.0622562,-97.0388338,"San Francisco, California",37.7879363,-122.4075201,direct,SanFranciscoExaminer1892_reprint,,Discovery; Wonder; Indian Queen; Vanishing Indians; Origins
AugustaChronicle1885,"""A Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed""",Augusta (GA) Chronicle,1885-05-29,"Augusta, Georgia",33.4709714,-81.9748429,"Rochester, New York",43.157285,-77.615214,truncated,Witter1885_DAC_reprint,[Fred Spalding Witter],Origins; Discovery; Noble Savage; Wonder; Indian Queen
BangorDailyWhigAndCourier1885,"""Queen of San Nicolas. The Feminine Crusoe of the Pacific Ocean—Eighteen Years Alone on a Desert Island Seventy Miles from Shore""",Bangor (ME) Daily Whig and Courier,1885-05-21,"Bangor, Maine",44.8016255,-68.7713289,"Rochester, New York",43.157285,-77.615214,truncated,Witter1885_DAC_reprint,[Fred Spalding Witter],Origins; Discovery; Noble Savage; Wonder; Indian Queen
