number,publication,source_note,citation,article_id,citation_format,author,title,volume_number,issue_number,day,month,year,date,publisher,location,editor
2,Adams (PA) Sentinel and General Advertiser,"Adams Sentinel and General Advertiser (1826-67) was a weekly newspaper published in Gettysburg, Pennsylvania, founded by Robert Harper at the turn of the century under the title The Adams Centinel. When his son, Robert G. Harper inherited the editorship, he updated the name. The younger Harper was a conservative Whig, and his paper followed suit. In the middle of the nineteenth century, agriculture was the primary industry in Adams County (pop. 25, 981) but manufacturing in the way of mills, irons forges, and lumbering was also present.","Charles H. Glatfelter, ""Adams County Votes for President, 1804-2008,"" Adams County History, 15, no. 3 (2009): 4-64, accessed February 28, 2016, PDF. Samuel T. Wiley, ed., Biographical and Portrait Cyclopedia of Cumberland, York, Adams Counties, Pennsylvania (Philadelphia: C.A. Rouff Company, 1897). U.S. Census Bureau, ""1850 Census,"" accessed February 28, 2016, PDF.",TheAdamsSentinel1853,newspaper-article,,"""A Female Crusoe.""","54,",2,7,November,1853,1853-11-07,Robert G. Harper,"Gettysburg, Pennsylvania",Robert G. Harper
3,Adventure Magazine,"Adventure Magazine (1910-1971) was a pulp magazine originally created by the Ridgway Company first published by the Butterwick Publishing company; Trumbull White was the first editor. He initiated two principle guidelines: the stories published did not have to take place in faraway locales, but it should be a true story, with specific details. Arthur Hoffman became the editor in 1912, and the magazine reached its height of popularity (more than 300,000 subscribers—including Theodore Roosevelt) during his 15 year editorship. At the time of its twenty-fifth anniversary, Time declared Adventure ""the number one pulp.""","Patrick Scott Belk, ""Adventure Magazine: America’s No. 1 Pulp,"" The Pulp Magazine Project, accessed July 25, 2016.",Woodward1930,magazine-article,"Woodward, Arthur.","""A Female Robinson Crusoe.""",,,1,February,1930,1930-02-01,,"New York, New York",Albert A. Proctor
4,Air Time,Air Time (2004-14) was a publication that was printed by the NAVAIR Range Deaprtment for Department of Defense employees and contractors.,"Patricia Sauers, email message to Paige Kuester, November 21, 2016.",Sauers2013_AirTime,magazine-article,"Sauers, Patricia.","""Lost Indian Cave Found on San Nicolas Island.""","4,",2,,Summer,2013,2013-06-01,,,
12,Ancestors West,Ancestors West (1974-current) is the quarterly publication of the Santa Barbara County Genealocial Society. It publishes articles of interest to those who are tracking their family genealogy. Dorothy James Oksner was the editor in 2004.,"""Ancestors West,"" Santa Barbara County Genealogical Society, accessed September 11, 2016. ""Santa Barbara County Genealogical Society,"" Ancestors West 31 no. 1/2 (2004-05): 2, accessed September 11, 2016, PDF.",Dittman2004,newspaper-newsletter-article,"Dittman, Richard H.","""Good Grief, Charley Brown!""","31,",1 & 2,,Fall/Winter,2004/2005,2004-09-01,,"Santa Barbara, California",
16,Art and Archaeology,"Art and Archaelogy (1914-34) was an illustrated monthly magazine published by the Archaeological Institute of America; its first editor was Francis Willey Kelsey. The magazine was launched in an effort to popularize the field, although not all members of the organization were in favor of the strategy, worrying that it would dilute the professionalism of their research. The point became moot during the Great Depression, when the circulation dropped too low for recovery, and the magazine folded.","Art and Archaeology 3 (1916): 2, accessed July 25, 2016, eBook. John G. Pedley, Life and Work of Francis Willey Kelsey: Archeology, Antiquity, and the Arts (Ann Arbor, MI: University of Michigan Press, 2012), accessed July 25, 2016. Stephen L. Dyson, Ancient Marbles to American Shores: Classical Archaeology in the United States (Philadelphia: University of Pennsylvania Press, 1998), accessed July 25, 2016.",Bryan1930,magazine-article,"Bryan, Bruce.","""San Nicolas Island, Treasure House of the Ancients: Part I.""","29,",4,,April,1930,1930-04-01,,,
41,California Archaeology,California Archaeology (2009-current) is the semi-annual publication of the Society for California Archaeology. It features peer-reviewed articles on archaeology and cultural resource management. Terry Jones has been the editor of California Archaeology since its founding.,"""California Archaeology – The SCA Journal, Society for California Archaeology, accessed September 11, 2016. Mark Allen, ""From the President: A New Journal for the Society for California Archaeology,"" Society for California Archaeology, 2008, accessed September 11, 2016.",SchwartzVellanoweth2013,journal-article,"Schwartz, Steven J. and Rene L. Vellanoweth.","""Lone Woman's Cave Found on San Nicolas Island.""","5,",2,,December,2013,2013-12-01,,,
44,California Historical Society Quarterly,"California Historical Society Quarterly (1920-current) is the flagship journal of the California Historical Society. From the start, the society was open to the historically curious, not just professional historians. Today, the journal goes by the name California History.","Carol Kammen and Amy H. Wilson, eds., Encyclopedia of Local History (Lanham, MD: AltaMira, 2013), accessed August 1, 2016. Frontmatter, California History 43, no. 1-4 (1984): 3, accessed August 1, 2016, eBook.",Thomson1953,journal-article,"Thomson, Virginia.","""Note on George Nidever: A ""Clean-Living and Upright"" Trapper.""","32,",3,,,1953,1953-01-01,,"San Francisco, California",
45,California Territorial Quarterly,"California Territorial Quarterly (1990-current) is a magazine published and edited by Bill and Penny Anderson out of Paradise, California. It was formerly called Dogtown Territorial Quarterly, but changed its name in 2002 to reflect the shift in focus from local history to the history of all California. The Andersons run the magazine in conjunction with their shop, Paradise Coin and Gifts. Articles are reviewed by local historians before being published.","Penny Anderson, ""A Short History of the Dogtown Territorial Quarterly,"" Welcome to the California History Website and Paradise Coin and Gift, accessed September 11, 2016.",Harrigan1998,journal-article,"Harrigan, John P.","""The Lone Woman of San Nicolas Island. ""","33,",33,,,1998,1998-01-01,,"Paradise, California",
67,New York Current Literature,"Current Literature (1888-1925) was a monthly magazine founded and edited by Frederick M. Somers out of New York. Somers sold the magazine in 1891; William George Jordan became the new editor. The magazine, which published fiction and literary reviews quickly out rivaled its competitors of larger pages, superior printing quality, and diversity of material. Current Literature reached a circulation of around 40,000 in the middle of the 1890s. Later, the magazine began publishing more news and commentary than fiction and it changed its name to Current Opinion in 1912.","Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: Macmillan, 1941), accessed June 21, 2016, eBook.",CurrentLiterature1892,newspaper-article,,"""Isle of Skulls.""","10,",1,,May,1892,1892-05-01,,"New York, New York",
68,Currents,Currents (2001-current) is the quarterly energy and environmental magazine of the U.S. Navy. It focuses on the way that the Navy interacts with the environment and natural resources. Its audience is the Navy and those concerned with its impacts on the natural world.,"""Currents,"" U.S. Navy, accessed September 11, 2016, http://greenfleet.dodlive.mil/currents-magazine/. ""U.S. Navy Currents Magazine"" Facebook page, accessed November 17, 2016.",Sauers2013_Currents,magazine-article,"Sauers, Patricia.","""Point Mugu’s Lead Archaeologist Makes a Significant Find.""",,,,Fall,2013,2013-09-01,,,
69,San Francisco Daily Alta California,"Daily Alta California (1849-1891) was founded in San Francisco (pop. 30,000 in 1856) by Edward C. Kemble. It initially appeared three times a week until 1850, when it became the city’s first daily paper. The populist and independent paper featured the first steam press in the city, which accelerated printing time. The Alta California relayed all state governmental proceedings to the people, making it the newspaper of choice for many locals, even as it faced stiff competition (twelve other newspapers were published in the area in 1854).","""Early SF Newspapers – Alta California,"" San Francisco Public Library Herb Caen Magazines and Newspapers Center, last updated September 5, 2009, accessed February 28, 2016. Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: Macmillan, 1941), 290. ""San Francisco Facilities in the Early 1850’s,"" The Virtual Museum of the City of San Francisco, accessed February 28, 2016.",DailyAltaCalifornia1853,newspaper-article,,"""Female Robinson Crusoe—The Ladies' Fair.""","4,",295,13,November,1853,1853-11-13,E. Gilbert & Co.,"San Francisco, California",
99,Elementary English,"Elementary English (1924-current) is a journal published by the National Council of Teachers of English out of Urbana, Illinois. Casper Carl Certain was the founding editor; Iris Tiedt was the editor in the 1960s. Its focus is reading and writing pedagogy. Its current title is Language Arts and is published 8 times a year.","Aileen Pace Nilsen, ""On the Twentieth Anniversary of the Founding of NCTE’s Women’s Committee,"" The Women in Literature and Life Assembly, Fall 1992, accessed September 4, 2016. ""Elementary English,"" WorldCat, accessed September 4, 2016. Leile Christenbury, ""NCTE and the Shaping of American Literacy Education,"" Reading the Past, Writing the Future (Urbana, IL: NCTE, 2001), accessed September 4, 2016, PDF. Marilyn Lea Miller, ""Certain, Casper Carl,’ Pioneers and Leaders in Library Services to Youth: A Biographical Dictionary (Westport, CT: Libraries Unlimited, 2003), accessed September 4, 2016, eBook. Peter Hunt, ed., ""Educational Publications,"" International Companion Encyclopedia of Children’s Literature, (London: Routledge, 2004), accessed September 4, 2016, eBook.",Stott1975,journal-article,"Stott, Jon C.","""Narrative Technique and Meaning in Island of the Blue Dolphins.""","52,",4,,April,1975,1975-04-01,,,
113,New York Field and Stream,"Field and Stream (1895-current) is a monthly magazine founded by John P. Burkhard and Henry Wellington Wack out of New York; it was originally founded in St. Paul Minnesota but was relocated in 1898. The magazine had boasted a large circulation in the early 1900s, printing printed articles on hunting, fishing, and different wildlife, depending on the season; it also printed Western serials. It remains one of the top outdoorsman magazines today.","Current Advertising (New York: Charles Austin Bates, 1900), accessed July 10, 2016, eBook. J. I. Merrit, ed., The Best of Field and Stream (Guilford, CT: Lyons, 2002), accessed July 10, 2016. Mike, ""Field and Stream Magazine Company History,"" Field and Stream Magazine Company History, June 5, 2012, accessed July 10, 2016. Thomas H. Pauly, Zane Grey (Urbana: University of Illinois Press, 2005), accessed July 10, 2016, eBook.",Gassaway1905,newspaper-article,"Gassaway, Frank.","""Sea Otter Shooting.""","10th year,",2,,June,1905,1905-06-01,,"New York, New York",
115,Frank Leslie's Popular Monthly,"Frank Leslie’s Popular Monthly (1876-1956) was a monthly magazine established by New Yorker Frank Leslie. The magazine featured an assortment of material, from poetry to literature reviews to science. When Leslie died in 1880, but his wife continued the publication, even changing her name to his so that there were no discrepancies. The magazine’s circulation surged in circulation in the mid-1880s to around 125,000, but as the economy declined in the wake of the financial Panic of 1893, circulation dropped to around 62,000. In 1905, the name was changed to the American Magazine; it was discontinued in 1956.","David E. Sumner, The Magazine Century (New York: Peter Lang, 2010), accessed June 21, 2016, eBook. Encyclopedia of American Ethnic Literature (New York: Infobase Learning, 2013), accessed June 21, 2016, eBook. Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: Macmillan, 1941), accessed June 21, 2016, eBook. R. Gregory Lande, The Abraham Man (New York: Algora, 2012), accessed June 21, 2016, eBook.",Eames1892,newspaper-article,"Eames, Ninetta.","""Three Weeks on a Weird Island.""","34,",6,,December,1892,1892-12-01,,Many of Frank Leslie's magazines were published in NY: https://books.google.co.za/books?id=lm7rSZ2BoK8C&pg=PA437&lpg=PA437&dq=Leslie+Hooper+American+engraver&source=bl&ots=5mdJNzCagV&sig=DvuUcexqBvuzpiUmalkBgsKpqDI&hl=en&ei=bsIfSuKANaSOjAel5piwBg&sa=X&oi=book_result&ct=result#v=onepage&q=Frank%20Leslie%20Popular%20Monthly&f=false,
125,Harper's New Monthly Magazine,"Harper’s Monthly Magazine (1850-current) is a monthly magazine founded by the publishers Harper & Brothers out of New York; it was originally called Harper’s New Monthly Magazine but the New was dropped in 1900. Henry J. Raymond was the founding editor, and Henry Mills Alden became editor in the 1890s. Each edition of Harper’s New Monthly Magazine included a variety of topics and genres, from English serials to science features and travel articles. When Scribner’s Monthly came on the scene in 1870, it spurred Harper’s to improve its illustrations, adding more images to each edition and improving the quality. By the 1890s, Harper’s had reached its peak as an illustrated magazine.","Frank Luther Mott, American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940 (New York: Macmillan, 1941), accessed June 21, 2016, eBook.",Bennett1898,magazine-article,"Bennett, John E.","""Our Seaboard Islands of the Pacific.""","97,",582,,November,1898,1898-11-01,,"Ithaca, New York",
130,Hutchings' California Illustrated Magazine,"Hutchings’ Illustrated California Magazine (1856-61) was a magazine published by James M. Hutchings, an Englishman who moved to California during the 1849 Gold Rush. After making a fortune in mining and losing it in a bank fiasco, Hutchings found success in journalism. His magazine reached a circulation of 8,000, outrivaling the Pioneer by including various local and foreign illustrated pieces. Hutchings was an early booster of Yosemite; he owned a hotel in the area and published the first illustrated magazine promoting the region as a destination for leisure.","Hutching’s Illustrated Magazine 1-5 (1856-1861), Yosemite, accessed 10 March 2016. James David Hart, A Companion to California: Newly Revised and Expanded with Illustrations (Berkeley, California: University of California Press, 1987), accessed 10 March 2016, eBook.",Russell1856_HCF,magazine-article,"Russell, C. J. W.","""Narrative of a Woman Who Lived Alone 18 Years Alone, Upon the Island of San Nicolas, Coast of California.""","1,",5,,November,1856,1856-11-01,,"San Francisco, California",
130,Hutchings' California Illustrated Magazine,"Hutchings’ Illustrated California Magazine (1856-61) was a magazine published by James M. Hutchings, an Englishman who moved to California during the 1849 Gold Rush. After making a fortune in mining and losing it in a bank fiasco, Hutchings found success in journalism. His magazine reached a circulation of 8,000, outrivaling the Pioneer by including various local and foreign illustrated pieces. Hutchings was an early booster of Yosemite; he owned a hotel in the area and published the first illustrated magazine promoting the region as a destination for leisure.","Hutching’s Illustrated Magazine 1-5 (1856-1861), Yosemite, accessed 10 March 2016. James David Hart, A Companion to California: Newly Revised and Expanded with Illustrations (Berkeley, California: University of California Press, 1987), accessed 10 March 2016, eBook.",HutchingsCaliforniaMagazine1857,magazine-article,,"""The Indian Woman of San Nicolas.""","1,",8,,February,1857,1857-02-01,,"San Francisco, California",
281,Le Mousquetaire (Paris),"Le Mousquetaire (1853-57) was a daily newspaper founded by the author Alexander Dumas (The Count of Monte Cristo, The Three Musketeers) out of Paris, France. The paper published literature and art reviews, and was also the first place Dumas’ Memoirs appeared in print.","Jack Adler, ""Alexandre Dumas and Auguste Macquet,"" Soulmates from the Pages of History (New York: Algora, 2013), accessed September 19, 2016, eBook.",Revoil1855,newspaper-article,"Bénédict Henry Révoil,","""Madame Robinson,""","21,",,25,February,1855,1855-02-25,,Paris,
143,Littell's Living Age,"Littell’s Living Age (1844-96) was a weekly magazine founded in Boston by Eliakim Littell (succeeded by his son, Robert).  The magazine featured literary fiction, particularly from England, and material reprinted from American periodicals and newspapers.  The magazine’s circulation remained moderate (under 10,000) until 1880, but production costs were kept low by drawing on previously published material.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed February 28, 2016, eBook.",TheLivingAge1847,magazine-article,,"""A Female Crusoe.""","12,",150,3,March,1847,1847-01-01,,"Ithaca, New York",
