Person writing,"Type

(lack of type indicates no type to be used in TEI)

This is a legacy of our early TEI. We keep this information and keep encoding it in new documents for the sake of consistency. It has no searchability or relevance and wasn't implemented rigorously. What I mean is that categories and labels aren't very good, and because of the sprawl of annotations did not end up being applied consistently.",Key,"Name

This is the title/label of the one liner and should match the text preceding the colon in the write-up itself. For this reason, do not use numbers for unidentified people like ""Man5"" or ""Guide2."" 

Instead, use alternative naming methods like ""Unidentified Santa Barbara resident"" or ""Unnamed Indian.""","Write-Up

The text preceding the colon in this column should match the text in the name/label column.","Sources & Notes

Wherever possible, the information in this column should be in the format of a citation rather than a single link. Full/formal citations are not necessary, but the goal should always be to allow someone else to follow the documentary/digital trail back to the item, whether or not its digital location has changed."
,eType,key,name,description,
,"persName type=""group""",#1835crew,Peor es Nada Crew,"<i>Peor es Nada</i> Crew: no definitive list of the men who sailed the <i>Peor es Nada</i> to San Nicolas Island in 1835, took a group of Nicole&#241;os onboard, and then deposited them in San Pedro has been found.  However, possible captains include Charles Hubbard and Isaac Sparks.  The crew likely included native Hawaiians, who were employed on vessels sailing in California waters at this time (including those captained by George Nidever and Isaac Sparks).  It is possible that the crew also included California Indians, who were part of otter hunting crews by the 1840s.  C. J. W. Russell's <i> Hutchings' California Illustrated Magazine </i> 1856 document group claims that California Indians were onboard. Other crew members might have included, among others, Isaac Williams, who is listed as crew in the Goliah <i> San Francisco Daily Placer Times and Transcript</i> 1853 group and J. J. Warner's 1894 <i>Los Angeles Herald</i> article about the Lone Woman; James Johnson, who is listed as crew in J. J. Warner's 1894 <i>Los Angeles Herald</i> article; and Job F. Dye and Lewis T. Burton, who Nidever reported as <i>Peor es Nada<i/> crew members during an otter hunting trip the previous year.","Hubbard, Sparks
possibly captain

""Kanakas""
mentioned inHarloe1948, Terry1882
present in Harrington notes, common knowledge they were on whale ships

Isaac Williams
mentioned in Warner1894, Harloe1948
mentioned in Goliah 1853 (SF Daily Placer Times and Transcript) group

James Johnson
mentioned in Warner1894

Unidentified Indians
in CJW Russell 1856 document group and in Roberts1947 (fictionalized account of ""Gelma"")

Dye, Burton
present in 1834"
,"persName type=""group""",#1814huntingparty,1814 Hunting Party,"1814 Hunting Party: a group of Russian American Company (RAC) sea otter hunters was left on San Nicolas Island by the <i>Il’mena</i> in 1814, and engaged in a violent confrontation with the indigenous Nicole&#241;os.The Russian Iakov Babin was in charge, as ""overseer,"" and the RAC held him responsible for the unauthorized violence. The names of the Alaska Natives involved in the confrontation are unknown; they were conscripted workers for the RAC. Although some Russian documents refer to them as Aleuts, they were most likely Kodiak Aluttiq people, natives of Kodiak Island.",
,"persName type=""group""",#nomadic,"""nomadic sheep shearers""",N/A,
,"persName type=""group""",#valmen,"""some Vallejo men""",N/A,
,"persName type=""group""",#yachtcrew,"""the crew""",N/A,
,"persName type=""group""",#californians,"""the early Californians""",N/A,
,"persName type=""group""",#partymen,"""the gentlemen of the party""",N/A,
,"persName type=""group""",#goodsbgroup,"""The good people of Santa Barbara""",N/A,
,"persName type=""group""",#ladies,"""the ladies""",N/A,
,"persName type=""group""",#prospecting,"""The party who recently went to San Nicolas Island</placeName> on a prospecting tour""",N/A,
,"persName type=""group""",#vails,"""the Vail brothers'",N/A,
,"persName type=""group""",#showmen,"""two speculative showmen proposed to the captain to lease the woman""

""two speculative showmen""

""several enterprising showmen""",N/A,
,"persName type=""group""",#albinofamily,Albino family,N/A,
,"persName type=""group""",#aztecchildren,Aztec children,N/A,"http://www.picturehistory.com/product/id/62021

http://www.circushistory.org/Olympians/OlympiansM1.htm

http://www.circushistory.org/Olympians/OlympiansP.htm

http://www.sideshowworld.com/81-SSPAlbumcover/SS-13-PH/Aztec-5/tgod-AC-SG-9-1850.html

Aztec children: Maximo and Bartola were two South American natives, toured by P. T. Barnum as the ""Aztec"" children. News sources of the day referred to them as ""pinheads,"" ""flatheads,"" and ""dwarves,"" but nothing is known about any medical condition they may have suffered. They were said to understand what was said them but not to be able to speak well in return and to be prone to fits of crying when upset. Very little is known about them for certain."
,"persName type=""group""",#beringexpedition,Bering expedition,N/A,
Carina,"persName type=""group""",#crocker,Crocker Family,N/A,"Groves, Martha. ""A Green Setting in Many Respects."" Los Angeles Times, November 15, 2008. Accessed February 23, 2017. http://articles.latimes.com/2008/nov/15/local/me-montecito15.
""About Montecito & Local History."" Montecito Association. October 12, 2011. Accessed February 23, 2017. http://www.montecitoassociation.org/community/about-montecito-local-history.
Kirst, Lynn P. ""Landmarks."" Montecito Journal, 2011, 40-50. http://themjmag.com/5/#/1/
"
,"persName type=""group""",#dawsongroup,Dawson group,N/A,
,"persName type=""group""",#nideverfamily,family of Nidever,N/A,
,"persName type=""group""",#hasslerparty,Hassler party,N/A,
,"persName type=""group""",#hightparty,Hight party,N/A,
,"persName type=""group""",#hights,Hights,N/A,
,"persName type=""group""",#latgroup,Los Angeles Times group,N/A,
,"persName type=""group""",#meighangroup,Meighan group,N/A,
,"persName type=""group""",#mullettcrew,Mullett crew,N/A,
,"persName type=""group""",#nidevergroup1836,Nidever party (1836),N/A,
,"persName type=""group""",#phelpscrew,Phelps crew,N/A,
,"persName type=""group""",#romanzovedped,Romanzov Discovery Expedition of 1836,N/A,
,"persName type=""group""",#smithsonian1896,Smithsonian party (1896),N/A,
,"persName type=""group""",#threesailors,three sailors who were with Nidever (it does not specify which sailors),N/A,
,"persName type=""group""",#walkerparty,Walker party,N/A,
,"persName type=""group""",#wheelerexpedition,Wheeler expedition,N/A,
,"persName type=""group""",#woodwardparty1939,Woodward party (1939),N/A,
,"persName type=""group""",#bhagroup,Nicole&#241;os who left San Nicolas Island for San Pedro in 1835,"Nicole&#241;os who left San Nicolas Island for San Pedro in 1835: there are no records of who was on board the Mexican schooner <i>Peor es Nada</i> in 1835. Early accounts by Captain William Dane Phelps and otter hunter George Nidever describe one Nicole&#241;o, nicknamed Black Hawk, who lived in San Pedro. More recently, six people identified in Church baptismal records for 1835 or 1836 as either Nicole&#241;o or Island Indians are likely or plausibly among the party that sailed on the <i>Peor es Nada</i>. There are a number of women among them including Juana (a young woman), María Magdalena (a young woman), María Aleja (a middle-aged woman), and the (unidentified) mother of an infant baptized as María Luciana after her 1836 birth in Los Angeles.",
