article_id,document_groups,num_groups
CambriaFreeman1879,SalemWeeklyReview1879_reprint; Stuart1878_reprint,2
SalemWeeklyReview1879,SalemWeeklyReview1879_reprint; Stuart1878_reprint,2
Sheridan1925,Sheridan1925_reprint; Terry1882_reprint,2
Sheridan1927_21(33),Sheridan1925_reprint; Terry1882_reprint,2
Sheridan1927_21(34),Sheridan1925_reprint; Terry1882_reprint,2
ShipwreckedMariner1879,SalemWeeklyReview1879_reprint; Stuart1878_reprint,2
Taylor1860_12(11),Russell1856_HCF_reprint; Taylor1860_12(11)_reprint,2
Taylor1860_13(16),Russell1856_HCF_reprint; Taylor1860_12(11)_reprint,2
TheGazette1879,Stuart1878_reprint; TheGazette1879_reprint,2
TheNewfoundlander1879,Stuart1878_reprint; TheGazette1879_reprint,2
ThePublicLedger1879,Stuart1878_reprint; TheGazette1879_reprint,2
Warner1856_EB,Russell1856_HCF_reprint; Warner1856_LAS_reprint,2
Warner1856_LAS,Russell1856_HCF_reprint; Warner1856_LAS_reprint,2
