person_writing,type,key,name,write_up,notes
Rachel,"persName type=""seaman""",#fremontcpt,A. M. Burns,A. M. Burns: employee of the Pacific Mail Steamers who captained the <i>Fremont</i> on the Portland-San Francisco mail route from 1852-53.,"Lewis & Dryden's Marine History of the Pacific Northwest at http://books.google.com/books?id=seRDAAAAYAAJ&pg=PA47&lpg=PA47&dq=captain+of+the+brig+Fremont+1853&source=bl&ots=OxqDZKiCid&sig=6NAWIMA5xS98-aFH0BmD6bUj8cA&hl=en&sa=X&ei=s8SIU-qJDompsASRi4GgDw&ved=0CCkQ6AEwAA#v=snippet&q=%22fremont%22%20%22burns%22&f=false

The Merchants' Magazine and Commercial Review, Volume 29: http://books.google.com/books?id=diZOAAAAYAAJ&pg=PA244&lpg=PA244&dq=%22fremont%22+%22a.+m.+burns%22+1853&source=bl&ots=JDxE0x4DtP&sig=0f8Z8m7FZGLYLkQiqgtvxCD8SRI&hl=en&sa=X&ei=Wce4U727OubI8wGP7oHgDQ&ved=0CDgQ6AEwBA#v=onepage&q=%22fremont%22%20%22a.%20m.%20burns%22%201853&f=false

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=DAC18530420.2.16.3#

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=DAC18530608.2.25.3

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=DAC18530305.2.18.3

http://cdnc.ucr.edu/cgi-bin/cdnc?a=d&d=DAC18530409.2.18.3&srpos=0&st=0&e=-------en-Page-20-DAC-159-byDA--txIN-chess-----"
Rachel,persName,#amo,A. P. More,"A.P. More: one of three More brothers who played an important role in developing the Santa Barbara region in the mid-nineteenth century. Between 1859-70, A.P., T. Wallace, and Henry H. More acquired sole proprietorship of Santa Rosa Island, where they developed a thriving sheep-raising venture.","http://www.nps.gov/chis/historyculture/santarosaisland.htm

http://www.rootsweb.ancestry.com/~cagha/biographies2/bios2/more-john-f.txt"
Rachel/Sara,"persName type=""author""",#ast,Absalom B. Stuart,"Absalom B. Stuart (1830-87): a prosperous doctor born in Pennsylvania. He trained at the Berkshire Medical College at Williams College in Massachusetts and at the Bellevue Medical College in New York. He relocated to Minnesota Territory and California, where he was licensed to practice medicine. In 1879, he appears in the Santa Barbara (CA) voting records; it is likely at this point that he met with George Nidever and Carl Dittman. Stuart was associated with <i>The Sanitarian</i>, a monthly medical journal based in New York.","http://books.google.com/books?id=XIQCAAAAYAAJ&pg=PA400&lpg=PA400&dq=%22Absalom+B.+Stuart%22+santa+barbara+california&source=bl&ots=Z2VyTu4VIV&sig=ALYHhSoNsFotv0DgbbozDVd2q58&hl=en&sa=X&ei=B3WKU6jEHta1sASOz4GQBw&ved=0CCkQ6AEwAA#v=onepage&q=Absalom%20B.%20Stuart&f=false

http://www.petalumapost.com/pastissues/webpostmarch04.pdf

http://elane.stanford.edu/public/L29628/1885-XXVIII.pdf; records from Ancestry.com (voting, civil war pensions, census records, etc.)"
Rachel,persName,#avroman,Adam Clark Vroman,"Adam Clark Vroman (1856-1916): a photographer. Vroman founded Vroman's Bookstore in Pasadena, California and became well-known for his photographs of California landscapes and architecture before he began documenting the rituals and daily lives of various Native American groups, work conducted in coordination with the Bureau of American Ethnology.","http://www.oac.cdlib.org/findaid/ark:/13030/c87m094d/entire_text/

http://americanart.si.edu/collections/search/artist/?id=6757"
Rachel,"persName type=""author""",#aldo,Adelaide LeMert Doran,"Adelaide LeMert Doran (1908-87): a teacher and author. Doran attended two campuses of the Universities of California, UC-Los Angeles and UC-Southern California, before working as a history teacher. Her published works include <i>The Ranch that was Robbins': Santa Catalina Island, California</i> (1963) and <i>Pieces of Eight Channel Islands: A Bibliographical Guide and Source Book</i> (1980).","http://islapedia.com/index.php?title=DORAN,_Adelaide_LeMert

http://www.worldcat.org/search?qt=worldcat_org_all&q=adelaide+lemert+doran"
Rachel,persName,#ach,Adelbert von Chamisso,"Adelbert von Chamisso (1781-1838): an author and botanist who accompanied the Russian Romanzov Expedition (1815-18), an around-the-world voyage of scientific discovery. Von Chamisso published a diary of the experience, which included collecting in San Francisco Bay. A German-language lyricist (his family had fled France during the Revolution), von Chamisso may be best known today as the author of <i>Peter Schlemihls wundersame Geschichte</i>(<i> Peter Schlemihl’s Miraculous Story</i>)","http://books.google.com/books?hl=en&id=0KYPAAAAQAAJ&dq=chamisso&printsec=frontcover&source=web&ots=twZWPMPeBh&sig=p3Fy9iias0dGdSp4f6xajhb_Ju0&ei=jPmQSZ25Jpm0sQPf_eGyCw&sa=X&oi=book_result&resnum=6&ct=result#v=onepage&q&f=false

http://www.britannica.com/EBchecked/topic/105074/Adelbert-von-Chamisso"
Rachel,"persName type=""author""",#aog,Adele Ogden,"Adele Ogden (1902-90): public school teacher and preeminent researcher of California maritime history. She earned a PhD from the University of California and is author of <i>The California Sea-Otter Trade, 1784-1848</i>.","US Census, 1940.  The Oakland Tribune 26 Aug 1925 and 2 Dec 1941."
Rachel,"persName type=""author""",#ahe,Adolphus L. Heermann,"Adolphus L. Heermann (1818?-65?): a medical doctor and field ornithologist who was elected to the Academy of Natural Sciences of Philadelphia. Heermaan served as part of the US Army Corps of Topographical Engineers in the West, completing surveys that helped to map routes for the Pacific Railroad. Heerman initially crossed the Rocky Mountains with John C. Frémont and then in the 1850s was appointed as surgeon and naturalist to Lieutenant R. S. Williamson's command.","http://www.cprr.org/Museum/Pacific_RR_Surveys/

http://quod.lib.umich.edu/m/moa/AFK4383.0010.006?rgn=main;view=toc

http://quod.lib.umich.edu/m/moa/AFK4383.0010.006?rgn=main;view=fulltext

http://www.dvoc.org/CassiniaOnLine/Cassinia11/C11_01_6.pdf"
Sara,"persName type=""author""",#els,Albert B. Elsasser,"Albert B. Elsasser (1918-99): research anthropologist at the Phoebe Hearst Museum of Anthropology at the University of California, Berkeley (formerly the Lowie Museum of Anthropology).  Elsasser was a doctoral student of Robert F. Heizer, with whom he later co-edited the <i>University of California Archaeological Survey No. 55</i> ""Original Accounts of the Lone Woman of San Nicolas Island,"" a compilation of archival and published accounts about the Lone Woman’s life and ""rescue.""","(dates via Susan, ancestry.com records)"
Rachel,persName,#aei,Albert Einstein,"Albert Einstein (1879-1955): a German-Jewish theoretical physicist. Einstein was educated at the Swiss Federal Polytechnic School in Zurich and, before becoming established in the academy, was an assistant in the Swiss Patent Office. Throughout his career he taught at the Universities of Bern, Zürich, Berlin, and Princeton, among other institutions. Einstein's published works (and just a few of his most important scientific contributions) include ""The Theory of Relativity"" (1905), <i>The Investigations on Theory of Brownian Movement</i> (1926), and <i>The Evolution of Physics</i> (1938). Einstein was awarded the Nobel Prize in Physics in 1921.",http://www.nobelprize.org/nobel_prizes/physics/laureates/1921/einstein-bio.html
