article_id,group_id_type,reprint_type
TheBostonAtlas1847,TheBostonAtlas1847_reprint,original
Goliah1853_DPT,Goliah1853_DPT_reprint,original
Santiago1853,Santiago1853_reprint,original
TheDailyHerald1853,TheDailyHerald1853_reprint,original
DailyAltaCalifornia1853,DailyAltaCalifornia1853_reprint,original
Russell1856_HCF,Russell1856_HCF_reprint,original
Warner1856_LAS,Warner1856_LAS_reprint,original
Taylor1860_12(11),Taylor1860_12(11)_reprint,original
Walcott1872,Walcott1872_reprint,original
Stuart1878,Stuart1878_reprint,original
SalemWeeklyReview1879,SalemWeeklyReview1879_reprint,original
TheGazette1879,TheGazette1879_reprint,original
Hardacre1880_SM,Hardacre1880_SM_reprint,original
TheYouthsCompanion1880,TheYouthsCompanion1880_reprint,original
Terry1882,Terry1882_reprint,original
Sheridan1925,Sheridan1925_reprint,original
Witter1885_DAC,Witter1885_DAC_reprint,original
Roberts1886,Roberts1886_reprint,original
TheTimes1887,TheTimes1887_reprint,original
TheWeeklyFreePress1891,TheWeeklyFreePress1891_reprint,original
Blanco1882_TIS,Blanco1882_TIS_reprint,original
SanFranciscoExaminer1892,SanFranciscoExaminer1892_reprint,original
Eames1892,Eames1892_reprint,original
Bowers1892,Bowers1892_reprint,original
Gibbons1893,Gibbons1893_reprint,original
SanFranciscoChronicle1894,SanFranciscoChronicle1894_reprint,original
NewYorkHerald1896,NewYorkHerald1896_reprint,original
Yates1896,Yates1896_reprint,original
Bennett1898,Bennett1898_reprint,original
Holder1899,Holder1899_reprint,original
FHDudley1901,FHDudley1901_reprint,original
Julian1901_TS,Julian1901_TS_reprint,original
Gassaway1905,Gassaway1905_reprint,original
TheGazetteTimes1906,TheGazetteTimes1906_reprint,original
CorsicanaDailySun1921,CorsicanaDailySun1921_reprint,original
TheDailyStar1930,TheDailyStar1930_reprint,original
Fife1943,Fife1943_reprint,original
Davidson1943_TB,Davidson1943_TB_reprint,original
LosAngelesTimes1951,LosAngelesTimes1951_reprint,original
NewYorkEveningExpress1847,TheBostonAtlas1847_reprint,direct
NewBedfordMercury1847,TheBostonAtlas1847_reprint,direct
PublicLedger1847,TheBostonAtlas1847_reprint,direct
NewYorkDailyTribune1847,TheBostonAtlas1847_reprint,direct
SpiritOfTheTimes1847,TheBostonAtlas1847_reprint,direct
EdgefieldAdvertiser1847,TheBostonAtlas1847_reprint,direct
ChristianAdvocateAndJournal1847,TheBostonAtlas1847_reprint,direct
WisconsinHerald1847,TheBostonAtlas1847_reprint,direct
TheLivingAge1847,TheBostonAtlas1847_reprint,direct
TheFriend1847,TheBostonAtlas1847_reprint,direct
ThePolynesian1847,TheBostonAtlas1847_reprint,direct
TheVermontJournal1847,TheBostonAtlas1847_reprint,direct
LongIslander1848,TheBostonAtlas1847_reprint,direct
Goliah1853_NYDT,Goliah1853_DPT_reprint,direct
DailyEveningHerald1853,Santiago1853_reprint,direct
FayettevilleObserver1853,TheDailyHerald1853_reprint,direct
Russell1857_CDT,Russell1856_HCF_reprint,direct
Russell1857_CC,Russell1856_HCF_reprint,direct
Warner1856_EB,Warner1856_LAS_reprint,direct
ChicagoDailyTribune1872,Walcott1872_reprint,direct
Clifford1921,Walcott1872_reprint,direct
Stuart1879_Jan28,Stuart1878_reprint,direct
Stuart1879_Jan29,Stuart1878_reprint,direct
Stuart1880,Stuart1878_reprint,direct
CambriaFreeman1879,SalemWeeklyReview1879_reprint,direct
TheNewfoundlander1879,TheGazette1879_reprint,direct
ThePublicLedger1879,TheGazette1879_reprint,direct
Hardacre1880_TBC,Hardacre1880_SM_reprint,direct
Hardacre1880_WE,Hardacre1880_SM_reprint,direct
Hardacre1880_VP,Hardacre1880_SM_reprint,direct
Hardacre1880_TTDT,Hardacre1880_SM_reprint,direct
Hardacre1880_TH,Hardacre1880_SM_reprint,direct
TheRiverineGrazier1880,Hardacre1880_SM_reprint,direct
Hardacre1881_ODH16(92),Hardacre1880_SM_reprint,direct
Hardacre1881_ODH16(93),Hardacre1880_SM_reprint,direct
TheTidings1904_Sep16,Hardacre1880_SM_reprint,direct
TheTidings1904_Sep23,Hardacre1880_SM_reprint,direct
TheTidings1904_Sep30,Hardacre1880_SM_reprint,direct
Hardacre1950,Hardacre1880_SM_reprint,direct
TheOsageCityFreePress1880,TheYouthsCompanion1880_reprint,direct
TheSarniaObserver1898,TheYouthsCompanion1880_reprint,direct
Sheridan1927_21(33),Sheridan1925_reprint,direct
Sheridan1927_21(34),Sheridan1925_reprint,direct
TheOmahaDailyBee1887,TheTimes1887_reprint,direct
