article_id,title,publication,group_reprint_id,reprint_type,tropes,image_display_template,image_parent_id,image_file,image_object_location,image_file_small,image_file_thumb,date,publisher_location,author,volume_number,issue_number,pages,permission,monograph_publishers,arhival_holding,archival_location,cost,permission_acknowledgement,permission_statements,acquisitions,document_intro,image_description
AlbanyEveningJournal1853,"""A Female Robinson Crusoe""",Albany (NY) Evening Journal,,,,,,,,,,1853-11-02,"Albany, New York",[Goliah],24,no. 7172,2,Public domain,,,,,,,,,
AlbanyEveningJournal1879,"""A Feminine Crusoe. Alone on a Dreary Desert Island for Eighteen Years""",Albany (NY) Evening Journal,,,,,,,,,,1879-02-14,"Albany, New York",,49,no. 14830,1,Public domain,The Journal,,,,,,,,
AlexandriaGazette1889,"""A Veritable Female Crusoe""",Alexandria (VA) Gazette,,,,,,,,,,1889-07-18,"Alexandria, Virginia",,90,no. 169,1,Public domain,,,,,,,,,
AlleganyCountyRepublican1901,"""The Woman of San Nicolas Island. A Strange Story of the Pacific Coast""",Allegany County (NY) Republican,,,,,,,,,,1901-10-25,"Friendship, New York",[M.E. Dudley],81,no. 43,2,Public domain,,,,,,,,,
Altrocchi1944,"""The Wild Girl of the Santa Barbara Channel Islands""",California Folklore Quarterly,,,,,,,,,,1944-02-14,"Berkeley, California",Rudolph Altrocchi,3,no. 1,59-60,Y,"S. B. Hustvedt
 

 Archer Taylor",,,,Courtesy of Western Folkore. Further publication prohibited.,Courtesy of Western Folkore. Further publication prohibited.,,,
AmericanAnthropologist1905,"""Proceedings of the California Meeting of the American Anthropological Association, August 29-September 2, 1905""",American Anthropologist,,,,,,,,,,1905-08-29,"Lancaster, Pennsylvania",,7,no. 4,732-44,Public domain,American Anthropological Association,,,,,,,,
ArizonaWeeklyJournalMiner1893,"""An Island Transformed""",Arizona Weekly Journal-Miner,,,,,,,,,,1893-07-19,"Prescott, Arizona",,30,no. 10,1,Public domain,,,,,,,,,
ArkansasCityTraveler1892,"""Wild Dogs Ate Her Child. The Story of San Nicolas Island and Its Last Inhabitant""",Arkansas City (KS) Traveler,,,,,,,,,,1892-04-07,"Arkansas City, Kansas",,5,no. 189,6,Public domain,,,,,,,,,
AugustaChronicle1885,"""A Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed""",Augusta (GA) Chronicle,,,,,,,,,,1885-05-29,"Augusta, Georgia",[Fred Spalding Witter],,,6,Public domain,,,,,,,,,
BangorDailyWhigAndCourier1885,"""Queen of San Nicolas. The Feminine Crusoe of the Pacific Ocean—Eighteen Years Alone on a Desert Island Seventy Miles from Shore""",Bangor (ME) Daily Whig and Courier,,,,,,,,,,1885-05-21,"Bangor, Maine",[Fred Spalding Witter],52,no. 121,1,Public domain,,,,,,,,,
BelvidereStandard1853,"""A Female Crusoe""",Belvidere (IL) Standard and Boone Co. Advertiser,,,,,,,,,,1853-12-06,"Belvidere, Illinois",,2,no. 33,1,Public domain,,,,,,,,,
Bennett1898,"""Our Seaboard Islands of the Pacific""",Harper's New Monthly Magazine,,,,,,,,,,1898-11-01,"Ithaca, New York",John E. Bennett,97,no. 582,852-62,Public domain,,,,,,,,,Y--scenes of SNI (13 images total)
Bennett1936,"""Mrs. Robinson Crusoe: She Lived Isolated, for Eighteen Years on San Nicolas—off our Southern California Shores. When They Rescued Her She Withered and Died in the Discomfort of Our Cramped Civilization""",Los Angeles Times Sunday Magazine,,,,,,,,,,1936-08-09,"Los Angeles, California",William Crosby Bennett,55,,"3, 14",Y,,,,,Copyright 1961. Los Angeles Times. Reprinted with Permission.,Copyright 1961. Los Angeles Times. Reprinted with Permission.,,,Y--depiction of GN discovering the LW
Benson1997,"""Manuscript 6"" in ""Unpublished Manuscripts""","The Noontide Sun: The Field Journals of the Reverend Stephen Bowers, Pioneer California Archaeologist",,,,,,,,,,1997-10-01,"Banning, California",Arlene Benson,,,233-35,Y,Malki-Ballena,,,$50.00,Copyright Malki Ballena Press,Copyright Malki Ballena Press. Reprinted with permission.,,,
BismarckDailyTribune1885,"""A Feminine Crusoe. How She Lived Eighteen Years on a Desert Island. The Story of the Lost Woman of San Nicolas—Her Ingenuity and Fertility of Invention—A Wonderful History""",Bismarck (ND) Daily Tribune,,,,,,,,,,1885-06-28,"Bismarck, North Dakota",[Fred Spalding Witter],13,no. 100,2,Public domain,,,,,,,,,
BismarckDailyTribune1892,"""The Isle of Skulls""",Bismarck (ND) Daily Tribune,,,,,,,,,,1892-04-27,"Bismarck, North Dakota",,12,,4,Public domain,,,,,,,,,
Blanco1882,"""Santa Barbara. A Visitor's Views Regarding Its Climate and Attractions""",Santa Barbara (CA) Daily Press,,,,,,,,,,1882-02-23,"Santa Barbara, California",Blanco,10,no. 121,2,Public domain,,,,,,,,,
Blanco1882_TIS,"""California Letter. Santa Barbara--Climate--Flowers--Channel Islands--Personal and Other Matters""",Indianapolis (IN) Sentinel,,,,,,,,,,1882-02-12,"Indianapolis, Indiana",Blanco,31,no. 43,1,Public domain,,,,,,,,,
BostonEveningTranscript1879,"""A Female Crusoe""",Boston Evening Transcript,,,,,,,,,,1879-03-05,"Boston, Massachusetts",[Absalom B. Stuart],52,no. 15915,3,Public domain,,,,,,,,,
Bowers1892,,The Lone Woman of San Nicolas Island,,,,,,,,,,1892-12-20,"Ventura, California",Stephen Bowers,,,,Public domain,Stephen Bowers,,,,,,,,
Brantingham1993,"""Island Woman's Origins Still Hotly Debated""",Santa Barbara (CA) News-Press,,,,,,,,,,1993-07-11,"Santa Barbara, California",Barney Brantingham,,,B2,Y,,,,$25 for 3 articles,Courtesy of Santa Barbara News-Press,Courtesy of Santa Barbara News-Press.,,,Y--graphic and image of LW plaque at SBMission
Bryan1930,"""San Nicolas Island, Treasure House of the Ancients: Part I""",Art and Archaeology,,,,,,,,,,1930-04-01,"Concord, New Hampshire",Bruce Bryan,29,no. 4,147-56,Permission obtained,,,,,"Permission granted 1/23 by Art & Archeology, owned by AIA. Only request is that original citation be given.Contacted College Art Association","Originally appeared in Art & Archeology 29, no. 4 (Apr 1930): 147-56.",,,"Y--map and scenes of SNI (9 photographs, 1 map)"
BuffaloCourierRecord1897,"""Fruitful Field of Exploration. Channel Islands, off the California Coast. Golgotha of [the] Pacific. Acres of Barren Rocks and Sandy Wastes Strewn with Human Bones. Natives Only a Memory. Wild Woman of San Nicolas—Strange Relics of a Vanished Race—Heaps of Whalebone""",Buffalo (NY) Courier-Record,,,,,,,,,,1897-05-30,"Buffalo, New York",,62,no. 150,9,Public domain,,,,,,,,,
BurlingtonFreePress1879,"""A Feminine Crusoe. Alone on a Dreary Desert Island for Eighteen Years""",Burlington (VT) Free Press,,,,,,,,,,1879-03-07,"Burlington, Vermont",,50,no. 36,1,Public domain,The Free Press Association,,,,,,,,
CambriaFreeman1879,"""A Female Robinson Crusoe""",Cambria (PA) Freeman,,,,,,,,,,1879-03-21,"Ebensburg, Pennsylvania",,13,no. 9,1,Public domain,,,,,,,,,
CambriaFreeman1880,"""An Indian Female Crusoe. The Strange Story of a Woman Who Lived Eighteen Years Alone on an Island in the Pacific""",Cambria (PA) Freeman,,,,,,,,,,1880-09-24,"Ebensburg, Pennsylvania",[Absalom B. Stuart],14,no. 35,1,Public domain,Henry A. McPike,,,,,,,,
CambriaFreeman1885,"""A Feminine Crusoe""",Cambria (PA) Freeman,,,,,,,,,,1885-07-03,"Ebensburg, Pennsylvania",[Fred S. Witter],19,no. 22,4,Public domain,,,,,,,,,
CambridgeChronicle1853,"""A Female Robinson Crusoe""",Cambridge (MA) Chronicle,,,,,,,,,,1853-11-12,"Cambridge, Massachusetts",[Goliah],8,no. 46,4,Public domain,Andrew Reid,,,,,,,,
Carl1952,"""The Lost Woman of San Nicolas Island""",Western Folklore,,,,,,,,,,1952-04-01,"Long Beach, California",Robert L. Carl,11,no. 2,123-24,Y,,,,$25 for 3 articles,Courtesy of Santa Barbara News-Press,Courtesy of Santa Barbara News-Press.,,,
ChicagoDailyTribune1872,"""Hona Maria""",Chicago Daily Tribune,,,,,,,,,,1872-08-11,"Chicago, Illinois",[Josephine Walcott],25,no. 362,5,Public domain,Tribune,,,,,,,,
ChicagoDailyTribune1891,"""She Lived Alone Among Skeletons""",Chicago Daily Tribune,,,,,,,,,,1891-10-05,"Chicago, Illinois",,51,no. 278,6,Public domain,,,,,,,,,
ChicagoDailyTribune1892,"""Covered with Human Skeletons. The Story of San Nicolas Island and Its Last Inhabitant""",Chicago Daily Tribune,,,,,,,,,,1892-04-16,"Chicago, Illinois",,51,no. 107,pt. 2 p. 16,Public domain,Tribune,,,,,,,,
ChicagoDailyTribune1902,"""To Explore the Strange Island of San Nicolas: An Expedition from the University of California Will Visit the Grewsome Land That is Spread Over with Skulls and Thighbones of a Lost Race""",Chicago Daily Tribune,,,,,,,,,,1902-03-02,"Chicago, Illinois",[Henry G. Tinsley],50,no. 61,58,Public domain,Tribune,,,,,,,,Y--drawings of SNI and expedition
ChristianAdvocateAndJournal1847,"""A Female Crusoe""",New York Christian Advocate and Journal,,,,,,,,,,1847-03-03,"New York, New York",,22,no. 9,36,Public domain,,,,,,,,,
ChristianUnion1885,"""A Female Crusoe""",New York Christian Union,,,,,,,,,,1885-05-21,"New York, New York",[Fred Spalding Witter],31,no. 21,19,Public domain,,,,,,,,,
CincinnatiCommercialTribune1885,"""A Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed""",Cincinnati Commercial Gazette,,,,,,,,,,1885-05-18,"Cincinnati, Ohio",[Fred Spalding Witter],45,no. 231,2,Public domain,,,,,,,,,
ClevelandPlainDealer1904,"""Relics of a Vanished Race. Found on a Lonely Island Off California""",Cleveland Plain Dealer,,,,,,,,,,1904-02-14,"Cleveland, Ohio",,63,no. 45,11,Public domain,,,,,,,,,
Clifford1921,"""Hona Maria""",Overland Monthly,,,,,,,,,,1921-11-01,"San Francisco, California",Josephine Clifford,78,no. 5,11-13,Public domain,,,,,,,,,Y--scenes of SNI
CommercialAdvertiser1857,"""A California Crusoe. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicolas""",Honolulu (Hawaii) Pacific Commercial Advertiser,,,,,,,,,,1857-08-06,"Honolulu, Hawaii",C. J. W. Russell,2,no. 6,4,,,,,,,,,,
CornwallChronicle1879,"""Swearing by Dispatch""",Launceston (AUS) Cornwall Chronicle,,,,,,,,,,1879-05-21,"Launceston, Tasmania, Australia",,43,no. 5205,3,,,,,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 
 

 Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,
CorsicanaDailySun1921,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters""",Corsicana (TX) Daily Sun,,,,,,,,,,1921-06-20,"Corsicana, Texas",,23,no. 266,6,Public domain,,,,,,,,,
CortlandNews1885,"""Crusoe in Petticoats. A Woman Who Was Eighteen Years on a Desert Island""",Cortland (NY) News,,,,,,,,,,1885-06-26,"Cortland, New York",[Fred Spalding Witter],6,no. 2,2,Public domain,Clayton H. Buell,,,,,,,,
CortlandStandard1926,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters""",Cortland (NY) Standard,,,,,,,,,,1926-12-10,"Cortland, New York",,,no. 239,10,Public domain,,,,,,,,,
Cronin1944,"""Juana Maria""",Priestly Studies,,,,,,,,,,1944-01-01,"Santa Barbara, California",Blaise P. Cronin,12,no. 2,68-75,Y,,,,$0.00,"Franciscan Province of Santa Barbara, Provincial Archives, Old Mission Santa Barbara (2201 Laguna St. Santa Barbara, CA 93105)","Courtesy of the Franciscan Province of Santa Barbara, Provincial Archives, Old Mission Santa Barbara (2201 Laguna St., Santa Barbara, CA 93105).",,,
CurrentLiterature1892,"""Isle of Skulls""",New York Current Literature,,,,,,,,,,1892-05-01,"New York, New York",,10,no. 1,92-94,Public domain,,,,,,,,,
Daily1989,"""The Lone Woman of San Nicolas Island: A New Hypothesis on Her Origin""",California History,,,,,,,,,,1989-03-01,"Oakland, California",Marla Daily,68,no. 1/2,"36-41, 65",,,,,,,Courtesy of California Historical Society.,,,"Y-Photo of plaque in Santa Barbara Mission cemetary honoring Juana Maria, image of Emma Hardacre's diary (entry about Juana Maria)"
DailyAltaCalifornia1853,"""Female Robinson Crusoe—The Ladies' Fair""",San Francisco Daily Alta California,,,,,,,,,,1853-11-13,"San Francisco, California",,4,no. 295,2,Public domain,E. Gilbert,,,,,,,"Published in San Francisco less than a month after the Lone Woman’s death in Santa Barbara, this article relates the story of the Lone Woman’s life and ""discovery"" by sea otter hunter George Nidever. It then mentions two artifacts, a ""dress of bird skins"" and a wicker bottle, both of which will be exhibited at a Ladies Fair organized to raise funds for the city’s first cathedral. The article describes the items of the Lone Woman’s manufacture as ""curiosities"" conveying a sense of wonder that a woman could ""make anything so perfect"" with what the writer perceived to be limited tools. The article’s headline associates the Lone Woman with Robinson Crusoe and the closing paragraph suggests that, due to the influence of George Nidever’s wife, the Lone Woman herself sought Christian conversion before dying. 
  
 This article is important in part for its documentation of the Lone Woman’s cormorant garment, which subsequently was lost. The dress was reputedly sent to the Vatican, evidence of the success of the Church’s ""civilizing"" project, but it has not yet been found. The water bottle basket, later housed in the California Academy of Sciences, was destroyed in the San Francisco earthquake and fire of 1906.
  
 After appearing in the Daily Alta California, this article of local interest—it discusses an upcoming Ladies Fair—served as a source for an article published the next day in a rival San Francisco newspaper, the San Francisco Daily Placer Times and Transcript. The day after that, however, the Sacramento Daily Union adapted the story, dropping local information about the Ladies Fair and simply retelling the narrative of the Lone Woman’s ""discovery"" and death. When the Sacramento editors reprinted the article, they erroneously placed the Lone Woman’s death in San Francisco (their source for the story) instead of Santa Barbara.",
DailyDemocraticStateJournal1853,No title,Sacramento (CA) Daily Democratic State Journal,,,,,,,,,,1853-10-13,"Sacramento, California",,3,no. 201,2,Public domain,V.E. Geiger,,,,,,,,
DailyEveningHerald1853,"""The Wild Woman of California""",Marysville (CA) Daily Evening Herald,,,,,,,,,,1853-11-03,"Marysville, California",,4,no. 76,2,Public domain,,,,,,,,,
DailyIndependent1883,"""Otter Hunting. The Sharp Shooters of the Sea. The War upon the Furry Beauties of the Kelp. Five Hundred Dollar Skins and How They Are Obtained—A Difficult but Profitable Industry""",Santa Barbara (CA) Daily Independent,,,,,,,,,,1883-11-08,"Santa Barbara, California",,2,no. 8,4,Public domain,,,,,,,,,
DailyIndependent1892,"""The Town in Brief""",Santa Barbara (CA) Daily Independent,,,,,,,,,,1892-03-11,"Santa Barbara, California",,18,no. 107,4,Public domain,,,,,,,,,
DailyNews1853,"""A Female Crusoe""",Savannah (GA) Daily Morning News,,,,,,,,,,1853-11-05,"Savannah, Georgia",,4,no. 249,1,Public domain,,,,,,,,,
DailyNewsAndIndependent1916,"""Lobsters Being Exterminated by Ravenous Fish. George Nidevar Brings from Story from Islands of Havoc Wrought""",Santa Barbara (CA) Daily News and Independent,,,,,,,,,,1916-02-29,"Santa Barbara, California",,"The Daily News: 22, The Independent: 35","The Daily News: no. 121, The Indepedent: no. 301",3,Public domain,,,,,,,,,
DailyPeople1906,"""A Woman Crusoe""",New York Daily People,,,,,,,,,,1906-02-11,"New York, New York",[Frank Gassaway],6,no. 226,7,Public domain,,,,,,,,,
DailyPlacerTimesAndTranscript1853,"""The Female Robinson Crusoe—Ladies' Fair""",San Francisco Daily Placer Times and Transcript,,,,,,,,,,1853-11-14,"San Francisco, California",,5,no. 1119,2,Public domain,,,,,,,,,
Dall1874,"""The Lords of the Isles""",Overland Monthly,,,,,,,,,,1874-06-15,"San Francisco, California",W. H. Dall,12,no. 6,522-26,Public domain,,,,,,,,,
DavenportMorningTribune1889,"""A Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years""",Davenport (IA) Morning Tribune,,,,,,,,,,1889-03-28,"Davenport, Iowa",,2,,4,Public domain,,,,,,,,,
Davidson1943_TB,"""Archeologists Bare Channel Islands' Secret; Story of Mother Love Delayed 90 Years. Ghost on San Nicholas Island, Was Indian Mother Who Would Not Leave Her Baby""",Danville (VA) Bee,,,,,,,,,,1943-07-19,"Danville, Virginia",Garber Davidson,,,8,"Permission granted
  
 Robert Benson 
 Editor 
 Danville Register & Bee 
 email Sara-->Rachel 3 Oct 2014",,,,,"Courtesy of the Danville Register & Bee, Danville, VA.","Courtesy of the Danville Register & Bee, Danville, VA.",,,
