"NOTE

The tab ""DocumentGroups"" was built to display document groups. This tab explains all document relationships as determined by Sara and Rachel as of November 2017.

There are a few document groups included on this tab that are not and should not appear on the ""DocumentGroups"" tab or the website because, for instance, one document responds to another doesn't fit any of the following categories: a reprint/paraphrase/truncation.  It just references or responds to another document.  An example: Yates1892_29Feb responds to Miller1891 but does not reprint/paraphrase/truncate any of the actual content in Miller 1891 ",Document Key of Original,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Publication Date,"Relationship notes 


(Direct reprints, Paraphrase, References, Quotes, Truncated reprint)


*""Direct reprints"" can (and often do) differ typographically but not by content, including minor changes of wording","Author Attribution Provided?

Quotation marks only used to indicate reprinted text when noted","References to Additional Sources?

Quotation marks only used to indicate reprinted text when noted","Publication Attribution Provided for reprinted/related copy?

Quotation marks only used to indicate reprinted text when noted"
"""(see StillSearching)"" notation indicates documents that are referenced in the archive but which we could not acquire and confirm. We never found these documents, for many reasons. In some cases, citations were incorrect but were reprinted and repeated. In other cases, physical items were held by libraries or institutions but could not be lent and therefore the citation could not be confirmed or acquired.",,,,,,,,,,,,
Phelps1841 & reprints/related,Phelps1841,,,,,,,5/29/1841,,,,
,,Phelps1961,,,,,,6/10/1961,Direct reprint of Phelps1841--w/ annotation,Y--Phelps,N,Y--Phelps1841
,,Phelps1966,,,,,,1/1/1966,Direct reprint of Phelps1841--w/ annotation,Y--Phelps,N,Y--Phelps1841
,,Busch1983,,,,,,1/1/1983,Direct reprint of Phelps1841--w/ annotation,Y--Phelps,N,Y--Phelps1841
,,,,,,,,,,,,
,,,,,,,,,,,,
TheBostonAtlas1847 & reprints/related,TheBostonAtlas1847,,,,,,,1/7/1847,,,,
,,NewYorkEveningExpress1847,,,,,,1/8/1847,Direct reprint of TheBostonAtlas1847,N,N,Y--TheBostonAtlas1847
,,NewBedfordMercury1847,,,,,,1/15/1847,Direct reprint of TheBostonAtlas1847,N,N,Y--TheBostonAtlas1847
,,PublicLedger1847,,,,,,1/16/1847,Direct reprint of TheBostonAtlas1847,N,N,N
,,NewYorkDailyTribune1847,,,,,,1/18/1847,Direct reprint of TheBostonAtlas1847,N,N,Y--TheBostonAtlas1847
,,SpiritOfTheTimes1847,,,,,,1/19/1847,Direct reprint of TheBostonAtlas1847,N,N,Y--TheBostonAtlas1847
,,EdgefieldAdvertiser1847,,,,,,2/10/1847,Direct reprint of TheBostonAtlas1847,N,N,N
,,ChristianAdvocateAndJournal1847,,,,,,3/3/1847,Direct reprint of TheBostonAtlas1847,N,N,Y--TheBostonAtlas1847
,,WisconsinHerald1847,,,,,,3/13/1847,Direct reprint of TheBostonAtlas1847,N,N,Y--TheBostonAtlas1847
,,TheLivingAge1847,,,,,,3/27/1847,Direct reprint of TheBostonAtlas1847,N,N,Y--TheBostonAtlas1847
,,TheFriend1847,,,,,,5/7/1847,Direct reprint of TheBostonAtlas1847,N,N,Y--TheBostonAtlas1847
,,ThePolynesian1847,,,,,,8/7/1847,Direct reprint of TheBostonAtlas1847,N,N,Y--TheBostonAtlas1847
,,TheVermontJournal1847,,,,,,9/10/1847,Direct reprint of TheBostonAtlas1847,N,N,Y--TheBostonAtlas1847
,,LongIslander1848,,,,,,1/21/1848,Direct reprint of TheBostonAtlas1847,N,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
DailyAltaCalifornia1853 & reprints/related,DailyAltaCalifornia1853,,,,,,,11/13/1853,,,,
,San Francisco Daily Placer Times and Transcript (see StillSearching),,,,,,,,,,,
,,DailyPlacerTimesAndTranscript1853,,,,,,11/14/1853,"References same ""ladies fair"" as DailyAltaCalifornia1853
References ""an interesting account"" published ""some time ago""",N,Y--Goliah1853_DPT,N
,,SacramentoDailyUnion1853_Nov15,,,,,,11/15/1853,"Truncated reprint of DailyAltaCalifornia1853--1 paragraph reprinted w/ new introduction
(Paraphrases details from WeeklyAltaCalifornia1853--w/ new details)",N,N,Y--DailyAltaCalifornia1853
,,,,,,,,,,,,
,,,,,,,,,,,,
Goliah1853_DPT & reprints/related,Goliah1853_DPT,,,,,,,9/23/1853,,,,
,,Goliah1853_NYDT,,,,,,10/28/1853,Direct reprint of Goliah1853_DPT,Y--Goliah1853_NYDT,N,Y--Goliah1853_NYDT
,,AlbanyEveningJournal1853,,,,,,11/2/1853,"Truncated reprint of Goliah1853_DPT--14 paragraphs reprinted, scattered sentences removed",N,N,Y--San Francisco Transcript
,,CambridgeChronicle1853,,,,,,11/12/1853,"Truncated reprint of Goliah1853_DPT--2 paragraphs paraphrased, 8 paragraphs reprinted",N,N,Y--San Francisco Transcript
,,WeeklyWisconsin1853,,,,,,11/16/1853,"Truncated reprint og Goliah1853_DPT--introductary paragraphs paraphrased, 3 paragraphs reprinted, scattered sentences removed",N,N,Y--San Francisco Transcript
,,SpringfieldDailyRepublican1853,,,,,,11/22/1853,Truncated reprint of Goliah1853_DPT--w/o last paragraph,N,N,Y--San Francisco Times
,,ThePortageSentinel1853,,,,,,12/28/1853,"Truncated reprint of Goliah1853_DPT--2 paragraphs paraphrased, 5 paragraphs reprinted",N,N,Y--San Francisco Times
,,,,,,,,,,,,
,,,,,,,,,,,,
DailyDemocraticStateJournal1853 & reprints/related,DailyDemocraticStateJournal1853,,,,,,,10/13/1853,,,,
,,HeizerElsasser1961_1C,,,,,,6/10/1961,Direct reprint of DailyDemocraticStateJournal1853,Y--Anonymous,N,N
,,HeizerElsasser1966_1C,,,,,,1/1/1966,Direct reprint of DailyDemocraticStateJournal1853,Y--Anonymous,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
TheDailyHerald1853 & reprints/related,TheDailyHerald1853,,,,,,,10/20/1853,,,,
,,EveningStar1853,,,,,,10/28/1853,"Truncated reprint of TheDailyHerald1853--2 pragraphs reprinted
(entire LW account in TheDailyHerald1853 reprinted)",Y--C.,N,Y-TheDailyHerald1853
,,DailyNews1853,,,,,,11/5/1853,"Truncated reprint of TheDailyHerald1853--2 pragraphs reprinted
(entire LW account in TheDailyHerald1853 reprinted)",N,N,Y-TheDailyHerald1853
,,TheAdamsSentinel1853,,,,,,11/7/1853,Truncated reprint of TheDailyHerald1853--1 paragraph reprinted,N,N,N
,,FayettevilleObserver1853,,,,,,11/10/1853,Direct reprint of TheDailyHerald1853,N,N,Y-TheDailyHerald1853
,,PlantersBanner1853,,,,,,11/17/1853,"Truncated reprint of TheDailyHerald1853--2 pragraphs reprinted, w/ new introduction
(entire LW account in TheDailyHerald1853 reprinted)
(exact same paaragraphing as EveningStar1853)",N,N,Y-TheDailyHerald1853
,,ThePeoplesPress1853,,,,,,11/19/1853,"Truncated reprint of TheDailyHerald1853--2 pragraphs reprinted
(entire LW account in TheDailyHerald1853 reprinted)",N,N,Y-TheDailyHerald1853
,,TheJeffersonian1853,,,,,,11/24/1853,"Truncated reprint of TheDailyHerald1853--2 pragraphs reprinted
(entire LW account in TheDailyHerald1853 reprinted)
(exact same paragraphing as ThePeoplesPress1853)",N,N,Y-TheDailyHerald1853
,,TheAntiSlaveryBugle1853,,,,,,12/3/1853,"Truncated reprint of TheDailyHerald1853--2 pragraphs reprinted
(entire LW account in TheDailyHerald1853 reprinted)
(exact same paaragraphing as EveningStar1853)",Y--C.,N,Y-TheDailyHerald1853
,,BelvidereStandard1853,,,,,,12/6/1853,"Truncated reprint of TheDailyHerald1853--1 paragraph reprinted
(exact same paragraphing as TheAdamsSentinel1853)",N,N,N
,,SpiritOfTheTimes1853,,,,,,12/20/1853,"Truncated reprint of TheDailyHerald1853--1 paragraph reprinted
(exact same paragraphing as TheAdamsSentinel1853)",N,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
Santiago1853 & reprints/related,Santiago1853,,,,,,,10/11/1853,"mentions LW ""of whom your paper has already spoke""
 ""not, as before published, from the Island of Catalina""",Y--Santiago,N,N
,,SacramentoDailyUnion1853_Nov1,,,,,,11/1/1853,"Truncated reprint of Santiago1853--1 paragraph reprinted (only includes LW account), w/ new introduction",N,N,Y--Santiago1853
,,DailyEveningHerald1853,,,,,,11/3/1853,"Direct reprint of SacramentoDailyUnion1853_Nov1
 [Truncated reprint of Santiago1853--1 paragraph reprinted (only includes LW account), w/ new introduction]",N,N,Y--Santiago1853
,,,SanFranciscoDailyHerald1853,,,,,11/13/1852,mentions Santiago1853,N,Y--Santiago1853,N
,,,,,,,,,,,,
,,,,,,,,,,,,
Russell1856_HCF & reprints/related,Russell1856_HCF,,,,,,,11/1/1856,,,,
,,Russell1856_EB3(42),,,,,,11/25/1856,"Truncated reprint of Russell1856_HCF--13 paragraphs reprinted, w/o conclusion, w/ new introduction (1 paragraph paraphrased)",Y--Russell,N,Y--Russell1856_HCF
,,,SantaBarbaraGazette1856,,,,,12/11/1856,References Russell1856_HCF,N,N,Y--Russell1856_HCF
,,,Warner1856_LAS,,,,,12/13/1856,References Russell1856_HCF,Y--Warner,Y--Russell1856_HCF,Y--Russell1856_HCF
,,,,Warner1856_EB,,,,12/27/1856,"Direct reprint of SantaBarbaraGazette1856
References Russell1856_HCF
References Warner1856_LAS",Y--Warner,Y--Russell1856_HCF,Y--Warner1856_LAS
,,,,SacramentoDailyUnion1856,,,,12/29/1856,"Direct reprint of SantaBarbaraGazette1856
References Russell1856_HCF
References Warner1856_LAS",Y--Warner,Y--Russell1856_HCF,Y--Warner1856_LAS
,,NewOrleansDailyCrescent1857,,,,,,1/26/1857,Truncated reprint of Russell1856_HCF--14 paragraphs reprinted,Y--Russell,Y--Russell1856_HCF,Y--Russell1856_EB3(42)
,,,,,HutchingsCaliforniaMagazine1857,,,2/1/1857,"References Russell1856_HCF
References SantaBarbaraGazette1856",N,"Y--Russell1856_HCF
Y--SantaBarbaraGazette1856",N
,,WilmingtonJournal1857,,,,,,2/13/1857,Truncated reprint of Russell1856_HCF--14 paragraphs reprinted,Y--Russell,Y--Russell1856_EB3(42),Y--Russell1856_HCF
,,WesternDemocrat1857,,,,,,2/17/1857,Truncated reprint of Russell1856_HCF--14 paragraphs reprinted,Y--Warner,N,Y--Russell1856_HCF
,,LowellDailyCitizenAndNews1857,,,,,,4/13/1857,Truncated reprint of Russell1856_HCF--14 paragraphs reprinted,Y--Warner,N,Y--Russell1856_HCF
,,Russell1857_CDT,,,,,,4/16/1857,"Direct reprint of Russell1856_EB3(42)--w/ scattered sentences removed
[Truncated reprint of Russell1856_HCF--13 paragraphs reprinted, w/o conclusion, w/ new introduction (1 paragraph paraphrased)]",Y--Russell,N,Y--Russell1856_HCF
