Document Key,Author Name,Article Title,"Publication Title

All italics are produced by the webiste programming, so encoding for italics is essential here.",Volume Number,Issue Number,Month,"Pages 

(Website uses this column only)","Place of Publication

for maps on website

also for browse by publication location feature","Publisher 

(required for monograph)","Year of publication

(required for monograph)","Permission Obtained

(date, point of contact, pertinent details)",Cost,Notes
,,(review),Newsday,,,(25 Mar 1961):,,,,,,"$1,200",[PARS 12/14] – quote was $1200 for five years only
Jones1969,"Jones, Philip Mills. ","""San Nicolas Island: Archaeology In 1901."" ",The Masterkey ,"43, ",3,(1969): ,84-98. ,,,,,,1/1/1969
Bryan1970,"Bryan, Bruce. ",,Archaeological Explorations on San Nicolas Island ,,,,,Southwest Museum ,"xv-xxii, 99-102, 108-9, 150-4. ",,,,1/1/1970
Olivera2011,"Olivera, Elena Vega",,"If Only She Could Speak for Herself: Representations of a California Channel Islands Woman, 1840s-2000s",,,,,,,,,,"5/21/2015--Sara: ""Let's put it in 'permissions denied' for now then with a note that the au hasn't actually yet been asked.  It's complicated"""
Baecker2007,"Baecker, Diann L.","""Surviving Rescue: A Feminist Reading of Scott O'Dell's Island of the Blue Dolphins.""",Children's Literature in Education,"38, ",no. 3 ,(2006): ,195-206. ,,,,,,can print abstract
,"Sattelmeyer, Robert  and James Barbour","""The Sources and Genesis of Melville’s ‘Norfolk Isle and the Chola Widow’"" ",American Literature,"50,",3,(1978):,398-41,,,,,,haven't asked -unlikely to gain permission
Maher1992,"Maher, Susan Naramore.","""Encountering Others: The Meeting of Cultures in Scott O'Dell's Island of the Blue Dolphins and Sing Down the Moon.""",Children's Literature in Education,"23, ",no. 4 ,(1992): ,215-27. ,,,,,,N (no abstract)
Tarr1997,"Tarr, C. Anita.","""An Unintential System of Gaps: A Phenomenological Reading of Scott O'Dell's Island of the Blue Dolphins.""",Children's Literature in Education,"28, ",no. 2 ,(1997): ,61-71. ,,,,,,N (no abstract)
Seiter1983,"Seiter, Ellen E.","""Survival Tale and Feminst Parable.""",Children's Novels and the Movies.,,,,,"New York, New York: ","Frederick Ungar Publishing Co., ",1983: ,,,"Requested to Thomas Cooper

N-Continuum denied"
Thompson1964,"Thompson, Howard.","""Island of Blue Dolphins Has Premiere.""",New York Times,,,(4 Jul 1964):,8,"New York, New York. ",,Published source--N/A,,,Y  (really?)
