article_id,group_reprint_id
Phelps1841,Phelps1841_reprint
Phelps1961,Phelps1841_reprint
Phelps1966,Phelps1841_reprint
Busch1983,Phelps1841_reprint
TheBostonAtlas1847,TheBostonAtlas1847_reprint
NewYorkEveningExpress1847,TheBostonAtlas1847_reprint
NewBedfordMercury1847,TheBostonAtlas1847_reprint
PublicLedger1847,TheBostonAtlas1847_reprint
NewYorkDailyTribune1847,TheBostonAtlas1847_reprint
SpiritOfTheTimes1847,TheBostonAtlas1847_reprint
EdgefieldAdvertiser1847,TheBostonAtlas1847_reprint
ChristianAdvocateAndJournal1847,TheBostonAtlas1847_reprint
WisconsinHerald1847,TheBostonAtlas1847_reprint
TheLivingAge1847,TheBostonAtlas1847_reprint
TheFriend1847,TheBostonAtlas1847_reprint
ThePolynesian1847,TheBostonAtlas1847_reprint
TheVermontJournal1847,TheBostonAtlas1847_reprint
LongIslander1848,TheBostonAtlas1847_reprint
DailyAltaCalifornia1853,DailyAltaCalifornia1853_reprint
San Francisco Daily Placer Times and Transcript (see StillSearching),San Francisco Daily Placer Times and Transcript (see StillSearching)_reprint
DailyPlacerTimesAndTranscript1853,San Francisco Daily Placer Times and Transcript (see StillSearching)_reprint
SacramentoDailyUnion1853_Nov15,San Francisco Daily Placer Times and Transcript (see StillSearching)_reprint
Goliah1853_DPT,Goliah1853_DPT_reprint
Goliah1853_NYDT,Goliah1853_DPT_reprint
AlbanyEveningJournal1853,Goliah1853_DPT_reprint
CambridgeChronicle1853,Goliah1853_DPT_reprint
WeeklyWisconsin1853,Goliah1853_DPT_reprint
SpringfieldDailyRepublican1853,Goliah1853_DPT_reprint
ThePortageSentinel1853,Goliah1853_DPT_reprint
DailyDemocraticStateJournal1853,DailyDemocraticStateJournal1853_reprint
HeizerElsasser1961_1C,DailyDemocraticStateJournal1853_reprint
HeizerElsasser1966_1C,DailyDemocraticStateJournal1853_reprint
TheDailyHerald1853,TheDailyHerald1853_reprint
EveningStar1853,TheDailyHerald1853_reprint
DailyNews1853,TheDailyHerald1853_reprint
TheAdamsSentinel1853,TheDailyHerald1853_reprint
FayettevilleObserver1853,TheDailyHerald1853_reprint
PlantersBanner1853,TheDailyHerald1853_reprint
ThePeoplesPress1853,TheDailyHerald1853_reprint
TheJeffersonian1853,TheDailyHerald1853_reprint
TheAntiSlaveryBugle1853,TheDailyHerald1853_reprint
BelvidereStandard1853,TheDailyHerald1853_reprint
SpiritOfTheTimes1853,TheDailyHerald1853_reprint
Santiago1853,Santiago1853_reprint
SacramentoDailyUnion1853_Nov1,Santiago1853_reprint
DailyEveningHerald1853,Santiago1853_reprint
SanFranciscoDailyHerald1853,Santiago1853_reprint
Russell1856_HCF,Russell1856_HCF_reprint
Russell1856_EB3(42),Russell1856_HCF_reprint
SantaBarbaraGazette1856,Russell1856_HCF_reprint
Warner1856_EB,Russell1856_HCF_reprint
SacramentoDailyUnion1856,Russell1856_HCF_reprint
NewOrleansDailyCrescent1857,Russell1856_HCF_reprint
HutchingsCaliforniaMagazine1857,Russell1856_HCF_reprint
WilmingtonJournal1857,Russell1856_HCF_reprint
WesternDemocrat1857,Russell1856_HCF_reprint
LowellDailyCitizenAndNews1857,Russell1856_HCF_reprint
Russell1857_CDT,Russell1856_HCF_reprint
TheMemphisDailyAppeal1857,Russell1856_HCF_reprint
HolmesCountyRepublican1857,Russell1856_HCF_reprint
Russell1857_CC,Russell1856_HCF_reprint
CommercialAdvertiser1857,Russell1856_HCF_reprint
TheArgus1857,Russell1856_HCF_reprint
TheGoulburnHerald1857,Russell1856_HCF_reprint
Taylor1860_12(11),Russell1856_HCF_reprint
Taylor1860_13(16),Russell1856_HCF_reprint
Russell1961,Russell1856_HCF_reprint
Taylor1961,Russell1856_HCF_reprint
HeizerElsasser1961_2D,Russell1856_HCF_reprint
Russell1966,Russell1856_HCF_reprint
Taylor1966,Russell1856_HCF_reprint
HeizerElsasser1966_2D,Russell1856_HCF_reprint
Walcott1872,Walcott1872_reprint
